N	2gram	Losev_Prob_1	DiskursI
1	в качестве	2	34
2	не только	17	28
3	в том	9	23
4	а не	15	22
5	то есть	33	20
6	том что	12	19
7	может быть	14	17
8	и в	32	16
9	как и	3	16
10	в этом	19	15
11	еще не	9	14
12	но и	9	14
13	при этом	6	13
14	прежде всего	10	11
15	но не	9	11
16	и не	31	11
17	с другой	3	10
18	как в	4	10
19	далеко не	5	10
20	в нем	13	9
21	не может	8	9
22	а также	4	8
23	отнюдь не	10	8
24	так и	12	8
25	о том	11	8
26	но в	14	8
27	в его	6	7
28	то же	10	7
29	не было	4	7
30	в себе	15	7
31	только в	7	7
32	не в	4	7
33	в своем	5	6
34	и как	6	6
35	пока еще	3	6
36	к тому	3	5
37	или иной	5	5
38	можно сказать	5	5
39	как бы	14	5
40	в котором	5	5
41	в своей	8	5
42	то что	42	5
43	во всех	7	5
44	а в	4	5
45	в их	4	5
46	и на	8	5
47	в данном	9	5
48	не обязательно	3	4
49	с его	2	4
50	что в	12	4
51	не является	5	4
52	в них	7	4
53	для себя	3	4
54	не как	2	4
55	что он	7	4
56	уже не	3	4
57	для него	2	4
58	в истории	4	4
59	связи с	5	4
60	на его	2	4
61	такого рода	7	4
62	и о	8	4
63	что не	3	4
64	в которых	3	4
65	потому что	16	4
66	между тем	2	4
67	могут быть	2	4
68	перед нами	5	3
69	для обозначения	4	3
70	однако в	2	3
71	того же	3	3
72	это не	6	3
73	по себе	15	3
74	в ее	3	3
75	и того	2	3
76	по своему	9	3
77	с этим	3	3
78	в действительности	3	3
79	в самом	6	3
80	той или	5	3
81	себе не	3	3
82	или на	3	3
83	один из	4	3
84	хотя бы	3	3
85	из них	3	3
86	таким образом	6	3
87	именно в	4	3
88	того что	7	3
89	другой стороны	3	3
90	и даже	11	3
91	сказать что	13	3
92	тем что	7	3
93	точки зрения	3	3
94	в то	6	3
95	тому как	2	3
96	также и	11	3
97	в первом	2	3
98	и потому	2	3
99	разного рода	6	2
100	известной степени	2	2
101	однако и	3	2
102	говорит и	3	2
103	не менее	19	2
104	и есть	6	2
105	никогда не	7	2
106	же касается	3	2
107	и во	3	2
108	по крайней	2	2
109	одного и	2	2
110	и все	7	2
111	сказать и	3	2
112	однако это	3	2
113	в литературе	4	2
114	об этом	10	2
115	к его	2	2
116	крайней мере	2	2
117	его как	2	2
118	как его	2	2
119	но отнюдь	3	2
120	есть в	5	2
121	более или	3	2
122	указывает на	14	2
123	однако уже	2	2
124	в сущности	2	2
125	текст и	2	2
126	обратить внимание	3	2
127	текста и	5	2
128	хотя и	6	2
129	о нем	3	2
130	сами по	3	2
131	например в	2	2
132	оно не	3	2
133	говоря уже	2	2
134	и тем	13	2
135	не есть	29	2
136	того или	2	2
137	на том	4	2
138	или менее	3	2
139	что же	9	2
140	данном случае	8	2
141	за пределы	6	2
142	для своего	2	2
143	поскольку в	2	2
144	может и	3	2
145	хотя в	3	2
146	уже в	3	2
147	как мы	7	2
148	этого термина	4	2
149	и что	9	2
150	свидетельствует о	3	2
151	в науке	2	2
152	то с	9	2
153	и его	3	2
154	или в	4	2
155	здесь в	3	2
156	во всяком	7	2
157	мы имеем	2	2
158	подобно тому	2	2
159	на себя	2	2
160	и ее	8	2
161	но как	6	2
162	он всегда	3	2
163	и вообще	4	2
164	не говоря	4	2
165	же самое	9	2
166	в этой	10	2
167	едва ли	2	2
168	особого рода	2	2
169	в виду	6	2
170	о чем	6	2
171	это было	2	2
