N	2gram	Medvedev_U_1	TeoriaLi
1	не только	10	18
2	и не	8	16
3	в частности	3	13
4	и в	14	13
5	может быть	6	12
6	в этом	7	11
7	в том	2	11
8	но не	2	10
9	а не	10	10
10	в его	2	9
11	то же	5	9
12	сводится к	2	8
13	но и	4	8
14	в себе	2	7
15	том что	2	7
16	в то	3	7
17	только в	2	7
18	с его	2	6
19	же время	3	6
20	но в	3	6
21	как и	3	5
22	не в	2	5
23	в самом	2	5
24	с другой	4	5
25	не случайно	2	5
26	между тем	2	5
27	в искусстве	6	5
28	конечном счете	4	4
29	не столько	2	4
30	в конечном	4	4
31	в своей	3	4
32	то что	7	4
33	в их	4	4
34	не может	7	4
35	художественного творчества	5	3
36	этом смысле	2	3
37	прежде всего	8	3
38	в итоге	2	3
39	художественного произведения	2	3
40	для него	3	3
41	в сторону	2	3
42	не все	2	3
43	другой стороны	3	3
44	как раз	2	3
45	таким образом	2	3
46	и то	3	3
47	в этой	4	3
48	и т.д	3	3
49	в художественном	5	3
50	эстетического объекта	6	3
51	о чем	2	2
52	если бы	2	2
53	могут быть	2	2
54	в конце	2	2
55	это не	3	2
56	или иных	2	2
57	по себе	2	2
58	что он	2	2
59	говоря иначе	2	2
60	в противном	2	2
61	к области	2	2
62	и для	2	2
63	тех или	2	2
64	не следует	3	2
65	произведения искусства	3	2
66	в области	3	2
67	противном случае	2	2
68	это было	2	2
