N	2gram	Savitsky_E_1	Morfolog
1	может быть	6	52
2	таким образом	2	20
3	представляет собой	3	17
4	не может	9	17
5	т е	9	16
6	в этих	2	16
7	могут быть	2	15
8	с этим	2	14
9	и в	37	13
10	в этом	12	13
11	так как	7	12
12	мы видим	2	11
13	заметить что	2	10
14	прежде всего	9	9
15	так и	10	9
16	то же	15	9
17	и не	14	9
18	а не	2	9
19	с другой	7	8
20	что и	3	8
21	при помощи	2	8
22	в результате	3	8
23	вопрос о	4	7
24	в качестве	14	7
25	но если	5	7
26	не могут	2	6
27	в том	11	6
28	но не	5	6
29	а также	7	6
30	а в	2	6
31	наряду с	2	5
32	вслед за	6	5
33	во всех	6	5
34	далеко не	2	5
35	как бы	6	5
36	то что	6	5
37	или в	2	5
38	потому что	3	5
39	мы не	4	5
40	что в	21	4
41	и как	2	4
42	вовсе не	6	4
43	было бы	8	4
44	несмотря на	4	4
45	не только	18	4
46	в некоторых	2	4
47	как в	3	4
48	как мы	5	4
49	другой стороны	2	4
50	так же	9	4
51	как и	7	4
52	там где	3	4
53	хотя и	2	4
54	тем что	3	4
55	точки зрения	23	4
56	с точки	17	4
57	также и	7	4
58	если в	2	4
59	в других	2	4
60	независимо от	4	3
61	если бы	2	3
62	между собой	2	3
63	в какой	2	3
64	же в	2	3
65	том что	6	3
66	в пределах	25	3
67	того чтобы	6	3
68	во втором	2	3
69	он не	2	3
70	не является	3	3
71	но и	14	3
72	целый ряд	2	3
73	и по	5	3
74	к нему	2	3
75	и для	3	3
76	мы можем	3	3
77	из них	3	3
78	в то	16	3
79	мы должны	2	3
80	но в	14	3
81	и более	2	2
82	с тем	3	2
83	в виде	5	2
84	в частности	5	2
85	хотя бы	15	2
86	утверждать что	2	2
87	можно сказать	4	2
88	и к	3	2
89	то в	4	2
90	только в	9	2
91	в большинстве	2	2
92	вопрос не	2	2
93	одной стороны	8	2
94	одной из	5	2
95	и таким	2	2
96	и только	3	2
97	случаях когда	2	2
98	с одной	8	2
99	относятся к	2	2
100	не означает	2	2
101	и что	2	2
102	того что	7	2
103	для того	6	2
104	не имеет	4	2
105	как их	2	2
106	можно было	3	2
107	в каком	4	2
108	этот вопрос	2	2
109	или по	2	2
110	о том	3	2
111	что эти	2	2
112	большинстве случаев	3	2
113	сказать что	4	2
114	как это	4	2
