N	2gram	Berdyaev_M_2	VeschiIm
1	не есть	13	49
2	т е	4	42
3	не может	15	33
4	не только	18	31
5	может быть	21	29
6	это –	22	29
7	и не	18	28
8	и в	46	26
9	то что	5	24
10	и есть	8	23
11	а не	13	20
12	что она	5	14
13	только в	3	14
14	и что	2	13
15	того что	6	13
16	по себе	2	13
17	что это	6	12
18	но и	15	12
19	сказать что	3	12
20	есть не	5	12
21	что же	2	11
22	то же	5	10
23	уже не	4	10
24	в ней	11	10
25	как бы	8	10
26	потому что	12	10
27	в том	3	9
28	в самом	5	9
29	есть явление	2	9
30	и с	3	9
31	прежде всего	12	9
32	что не	2	9
33	себя и	3	8
34	иное как	3	8
35	она есть	2	8
36	но это	8	8
37	что иное	3	8
38	не что	3	8
39	в себе	10	8
40	и это	5	8
41	ничего не	2	8
42	со своим	2	7
43	– не	3	7
44	также и	4	7
45	его в	3	7
46	так как	8	7
47	е в	2	7
48	– в	2	7
49	том что	4	7
50	есть и	3	7
51	себя в	4	7
52	не будет	3	7
53	в этом	20	7
54	так что	2	6
55	это есть	2	6
56	что они	3	6
57	что в	4	6
58	для него	18	6
59	жизни и	6	6
60	должно быть	2	6
61	точки зрения	2	6
62	но в	10	6
63	есть ли	2	6
64	она не	8	6
65	бы и	5	6
66	с ним	3	6
67	можно было	2	6
68	в отношении	5	5
69	это не	5	5
70	не в	9	5
71	для этого	4	5
72	только и	4	5
73	должны быть	4	5
74	а в	2	5
75	как к	2	5
76	если бы	3	5
77	в свою	4	5
78	у нас	11	5
79	это и	3	5
80	в сущности	2	5
81	и для	7	5
82	в чем	3	5
83	я не	5	4
84	можно ли	3	4
85	в своем	8	4
86	тут не	2	4
87	что есть	2	4
88	от того	3	4
89	о том	3	4
90	не существует	3	4
91	и все	5	4
92	как и	13	4
93	во всех	2	4
94	его на	4	4
95	и потому	7	4
96	на почве	3	4
97	оно не	2	4
98	должен быть	4	4
99	что и	4	4
100	если есть	3	4
101	быть и	2	4
102	тем что	3	4
103	никогда не	18	3
104	вопрос о	6	3
105	есть еще	2	3
106	к тому	5	3
107	на этом	2	3
108	момент в	3	3
109	было в	3	3
110	в нем	22	3
111	сам по	2	3
112	отношение к	8	3
113	отношения к	2	3
114	всегда есть	2	3
115	к себе	2	3
116	тогда когда	2	3
117	к другому	3	3
118	но когда	2	3
119	в жизни	4	3
120	один из	5	3
121	что он	7	3
122	только это	2	3
123	мы видим	2	3
124	если я	2	3
125	тот же	2	3
126	к ней	2	3
127	в своей	5	3
128	вместе с	2	3
129	так и	4	3
130	да и	2	3
131	и тогда	3	3
132	бы в	2	3
133	того чтобы	4	3
134	хотя бы	7	3
135	тому как	2	3
136	подобно тому	2	3
137	с самим	3	3
138	вопроса о	4	3
139	и самое	2	3
140	в основе	2	3
141	тому что	4	2
142	человека и	7	2
143	на все	3	2
144	же есть	3	2
145	есть уже	4	2
146	и можно	3	2
147	ни в	3	2
148	и самосознание	2	2
149	и нет	3	2
150	и если	2	2
151	и та	2	2
152	не стоит	3	2
153	в сфере	2	2
154	– другой	2	2
155	но она	2	2
156	в разных	2	2
157	чем не	2	2
158	и вот	5	2
159	не мог	3	2
160	душу и	3	2
161	так же	6	2
162	жизнь и	4	2
163	в своих	3	2
164	в более	2	2
165	самим собою	2	2
166	как ее	2	2
167	самого себя	4	2
168	сходить с	2	2
169	от этого	2	2
170	жизни в	3	2
171	превращается в	2	2
172	и во	3	2
173	если он	2	2
174	с собой	2	2
175	то в	2	2
176	себе и	2	2
177	он не	10	2
178	нем нет	2	2
179	– это	2	2
180	как в	7	2
181	еще более	2	2
182	все равно	3	2
183	для того	5	2
184	к чему	4	2
185	последний предел	2	2
186	и его	5	2
187	той же	3	2
188	не случайно	2	2
189	отношении к	3	2
190	это все	2	2
