N	2gram	Losev_Vlad_2	Tragedij
1	и в	30	18
2	в году	24	9
3	в этом	20	9
4	не только	12	8
5	он сам	2	7
6	и не	18	7
7	и на	4	7
8	и с	14	7
9	может быть	7	7
10	как бы	5	7
11	что он	13	6
12	и его	6	6
13	же время	3	6
14	у него	19	6
15	но в	8	6
16	все же	9	5
17	что это	4	5
18	так и	5	5
19	это не	2	5
20	не может	9	5
21	то же	4	5
22	в дальнейшем	5	5
23	как и	5	5
24	у достоевского	2	5
25	в то	9	5
26	несмотря на	4	5
27	но и	8	4
28	то что	20	4
29	в целом	4	4
30	что в	12	4
31	все это	5	4
32	я не	4	4
33	прежде всего	6	4
34	и все	7	4
35	в нем	4	4
36	и даже	10	4
37	так же	4	4
38	том что	12	4
39	но это	4	4
40	в этой	4	4
41	что я	3	4
42	и что	5	4
43	в себе	6	4
44	об этом	6	4
45	что вы	2	3
46	уже в	3	3
47	о чем	6	3
48	в своем	8	3
49	в конце	13	3
50	как в	3	3
51	все эти	5	3
52	и он	4	3
53	и как	3	3
54	к нему	2	3
55	в основном	5	3
56	должно быть	3	3
57	в его	11	3
58	для него	9	3
59	при этом	5	3
60	и сам	2	3
61	как будто	2	3
62	как это	7	3
63	с ним	5	3
64	то есть	7	3
65	еще в	2	2
66	под влиянием	3	2
67	не имеет	2	2
68	и до	2	2
69	не был	2	2
70	что и	3	2
71	а что	2	2
72	раз и	2	2
73	в частности	2	2
74	в отличие	3	2
75	данном случае	2	2
76	и я	5	2
77	уже не	3	2
78	с его	4	2
79	отношение к	4	2
80	к тому	2	2
81	о его	5	2
82	ни в	7	2
83	он был	6	2
84	в том	18	2
85	до конца	7	2
86	друг друга	2	2
87	отличие от	3	2
88	но все	2	2
89	так что	5	2
90	в таком	3	2
91	не в	9	2
92	тут же	2	2
93	точно так	3	2
94	в данном	3	2
95	и то	5	2
96	в русском	2	2
97	потому что	9	2
98	с тем	2	2
99	в виде	3	2
100	он и	3	2
101	на меня	2	2
102	как у	2	2
103	по поводу	4	2
104	в это	4	2
105	о том	4	2
106	его в	4	2
107	что эти	2	2
108	и это	3	2
109	в самом	2	2
110	во сне	2	2
111	не мог	8	2
112	ничего не	2	2
113	он не	4	2
114	никогда не	7	2
