N	2gram	Kanaev_Sov_1	Dialekti
1	и не	6	30
2	и в	7	18
3	ничего не	6	17
4	может быть	12	17
5	точки зрения	12	17
6	в нем	3	16
7	и есть	2	16
8	а не	3	14
9	что в	2	13
10	не только	4	13
11	и даже	2	13
12	было бы	3	12
13	и что	2	12
14	с точки	5	12
15	в этом	7	12
16	не может	17	12
17	что это	2	11
18	как бы	4	11
19	все это	3	11
20	в себе	3	11
21	так как	4	11
22	прежде всего	5	10
23	то же	3	10
24	что такое	2	10
25	отнюдь не	3	9
26	это не	4	9
27	в том	4	9
28	ясно что	3	8
29	совершенно не	2	8
30	что она	3	7
31	не в	3	6
32	но в	3	6
33	в дальнейшем	4	5
34	и мы	3	5
35	и пр	2	5
36	все же	3	5
37	а в	4	5
38	говорить о	2	5
39	мы должны	4	5
40	в конце	3	4
41	во всяком	2	4
42	мы видим	2	4
43	быть и	2	4
44	как мы	2	4
45	мы можем	6	4
46	как он	3	4
47	может иметь	2	3
48	состоит из	3	3
49	точку зрения	4	3
50	или иной	2	3
51	же это	4	3
52	в его	2	3
53	и потому	3	3
54	жизни и	4	3
55	что же	5	3
56	в самом	2	3
57	еще более	2	3
58	но все	2	3
59	самом деле	2	3
60	в науке	2	3
61	могут быть	2	3
62	и все	3	3
63	на этом	2	2
64	не менее	2	2
65	в виде	2	2
66	из этих	2	2
67	в каждом	8	2
68	вопрос о	4	2
69	как и	6	2
70	такой же	2	2
71	еще не	3	2
72	это за	2	2
73	всяком случае	2	2
74	из них	4	2
75	с этим	2	2
76	с одной	2	2
77	ли оно	2	2
78	все эти	5	2
79	если мы	4	2
80	уже не	2	2
81	отличается от	3	2
82	ее на	2	2
83	то и	2	2
84	мы получаем	3	2
