N	3gram	Vygotskiy__6	VLabPisa
1	в этом отношении	3	13
2	с другой стороны	2	8
3	не может быть	2	8
4	по отношению к	10	7
5	в зависимости от	5	5
6	можно сказать что	6	4
7	в связи с	2	4
8	не могут быть	2	4
9	в том что	19	4
10	к тому что	7	3
11	в этой области	2	3
12	в значительной мере	2	3
13	вместе с тем	2	3
14	мы видели что	3	3
15	мы знаем что	3	2
16	что все эти	2	2
17	не только не	2	2
18	и том же	2	2
19	до сих пор	3	2
20	только то что	2	2
21	и не может	2	2
22	каждой из этих	2	2
23	не могут не	2	2
24	от того что	6	2
25	в силу чего	4	2
26	можно было бы	5	2
27	одном и том	2	2
28	для того чтобы	8	2
