N	2gram	Tiupa_Anal_1	Stilisti
1	и в	18	42
2	как бы	5	27
3	не только	15	27
4	и т.п	5	24
5	прежде всего	6	22
6	внутренней речи	5	18
7	хотя бы	3	17
8	но и	17	15
9	то же	9	15
10	и не	21	14
11	может быть	29	12
12	не может	22	12
13	точки зрения	6	11
14	как и	13	11
15	и как	5	10
16	что мы	3	10
17	отнюдь не	15	10
18	как мы	2	10
19	в этом	13	10
20	при этом	12	9
21	в то	9	9
22	то что	6	9
23	для того	4	9
24	все же	4	8
25	таким образом	3	8
26	что же	2	8
27	тем самым	7	8
28	в себе	11	8
29	никогда не	2	7
30	же время	6	7
31	и на	5	7
32	потому что	2	7
33	так как	2	7
34	с его	3	7
35	было бы	2	7
36	а не	17	7
37	того чтобы	3	7
38	и его	5	7
39	только в	6	7
40	в которой	2	7
41	или иной	6	6
42	не в	14	6
43	в этой	5	6
44	на его	2	6
45	в нем	3	6
46	в процессе	2	6
47	так и	4	6
48	в области	4	6
49	в нашем	3	5
50	и является	2	5
51	не является	2	5
52	а в	9	5
53	и с	2	5
54	же самое	2	5
55	того или	3	5
56	в сознании	2	5
57	или иного	3	5
58	в его	13	5
59	вместе с	4	5
60	в той	8	5
61	с точки	4	5
62	той же	2	5
63	не просто	2	4
64	что именно	2	4
65	можно сказать	2	4
66	к тому	7	4
67	художественного творчества	2	4
68	в качестве	31	4
69	в самом	6	4
70	той или	6	4
71	один из	2	4
72	того что	4	4
73	о том	5	4
74	но в	8	4
75	если бы	3	4
76	не что	4	4
77	и к	3	4
78	себя в	6	4
79	а с	3	4
80	уже не	4	4
81	самом деле	2	4
82	и то	2	4
83	то есть	11	4
84	вопроса о	3	4
85	его и	2	3
86	это не	6	3
87	в котором	3	3
88	в целом	5	3
89	не к	2	3
90	из них	2	3
91	не становится	2	3
92	лишь в	5	3
93	нуждается в	8	3
94	в начале	2	3
95	вследствие этого	3	3
96	то он	2	3
97	и все	3	3
98	этого слова	7	3
99	том что	12	3
100	еще не	3	3
101	как предмет	4	3
102	тех или	2	3
103	нет и	2	3
104	что и	3	3
105	не будет	3	3
106	отношения к	2	3
107	на самом	2	3
108	роль в	2	3
109	художественного высказывания	2	2
110	место в	3	2
111	быть может	2	2
112	в частности	19	2
113	в какой	2	2
114	иное как	5	2
115	не всегда	4	2
116	вопрос о	2	2
117	как уже	2	2
118	литературное произведение	12	2
119	в мире	8	2
120	в том	27	2
121	тому же	4	2
122	времени и	6	2
123	для него	2	2
124	в пределах	2	2
125	и сам	2	2
126	несмотря на	2	2
127	не с	4	2
128	отношение к	2	2
129	общения людей	2	2
130	не говоря	2	2
131	этом отношении	2	2
132	все эти	2	2
133	должно быть	2	2
134	каждый из	2	2
135	также и	2	2
136	что иное	5	2
137	по своей	6	2
138	нет ничего	2	2
139	мы имеем	6	2
140	я и	6	2
141	в основе	6	2
142	однако в	3	2
143	между собой	2	2
144	смысл его	3	2
145	себе в	2	2
146	или иных	2	2
147	что он	3	2
148	есть не	8	2
149	не должен	2	2
150	ли он	2	2
151	самое время	2	2
152	представляет собой	16	2
153	но не	10	2
154	художественное творчество	2	2
155	и потому	2	2
156	не есть	8	2
157	в своей	6	2
158	здесь не	2	2
159	бы не	2	2
160	из которых	4	2
161	на наш	6	2
162	к нему	3	2
163	с ним	4	2
164	между двумя	3	2
165	которые в	2	2
