N	3gram	Medvedev_F_3	Freidism
1	с точки зрения	14	11
2	по отношению к	3	8
3	во всяком случае	6	7
4	не может быть	14	7
5	в самом деле	4	6
6	в большинстве случаев	4	5
7	то же время	7	4
8	в данном случае	4	4
9	в то же	7	4
10	в последнем счете	2	4
11	как мы видели	2	4
12	в зависимости от	5	4
13	на самом деле	12	4
14	бы то ни	4	3
15	в следующей главе	2	3
16	для того чтобы	4	3
17	во всех областях	2	2
18	то или иное	2	2
19	так и в	2	2
20	то же самое	3	2
21	и не может	4	2
22	тем не менее	2	2
23	мы видели что	2	2
24	то ни было	4	2
25	в отличие от	2	2
26	в конце концов	2	2
27	и не нуждается	2	2
28	в этом отношении	3	2
29	в высшей степени	2	2
30	мы уже знаем	2	2
