N	2gram	Berdyaev_M_2	NovoeSre
1	а не	13	17
2	не может	15	16
3	и в	46	16
4	во имя	16	15
5	совсем не	5	12
6	и не	18	11
7	и есть	8	10
8	что в	4	9
9	жизни и	6	8
10	он не	10	8
11	в том	3	8
12	не будет	3	7
13	как и	13	7
14	это есть	2	7
15	в этом	20	7
16	может быть	21	7
17	с его	4	6
18	никогда не	18	6
19	в высшей	3	6
20	не знает	9	6
21	не в	9	6
22	высшей степени	3	6
23	лишь в	2	6
24	но это	8	6
25	ни в	3	6
26	должен быть	4	5
27	в нем	22	5
28	в жизни	4	5
29	и к	7	5
30	в ней	11	5
31	не только	18	5
32	то что	5	4
33	в них	3	4
34	это не	5	4
35	и все	5	4
36	не было	11	4
37	быть может	2	4
38	не имеет	4	4
39	и для	7	4
40	должно быть	2	4
41	есть лишь	17	4
42	потому что	12	4
43	прежде всего	12	4
44	о том	3	4
45	и потому	7	4
46	жизни не	2	3
47	но и	15	3
48	не есть	13	3
49	революции и	6	3
50	не существует	3	3
51	в своей	5	3
52	жизни в	3	3
53	вопрос о	6	3
54	человека и	7	3
55	в духе	5	3
56	во всех	2	3
57	не означает	2	3
58	к тому	5	3
59	в мире	7	3
60	бога и	5	3
61	в основе	2	3
62	духа и	3	3
63	подобно тому	2	3
64	смысле слова	3	3
65	как в	7	3
66	она не	8	3
67	разлагается и	2	3
68	тому как	2	3
69	в россии	3	3
70	сказать что	3	3
71	что все	5	2
72	я не	5	2
73	все время	2	2
74	каждого человека	3	2
75	себя в	4	2
76	нем нет	2	2
77	место в	2	2
78	и социализм	2	2
79	у него	22	2
80	вместе с	2	2
81	если нет	8	2
82	но она	2	2
83	так и	4	2
84	что она	5	2
85	не будут	2	2
86	для этого	4	2
87	и от	3	2
88	мир и	2	2
89	не знал	3	2
90	а в	2	2
91	духа в	2	2
92	может уже	2	2
93	она порождает	2	2
94	думать что	4	2
95	на гибель	2	2
96	из глубины	2	2
97	свободы и	4	2
98	уже не	4	2
99	в судьбах	3	2
100	того чтобы	4	2
101	хотя бы	7	2
102	вот почему	2	2
103	так же	6	2
104	это и	3	2
105	к революции	5	2
106	том что	4	2
107	можно было	2	2
108	связана с	7	2
109	в русском	4	2
110	есть в	3	2
111	же как	3	2
112	и с	3	2
113	и что	2	2
114	и на	3	2
115	не к	2	2
116	в себе	10	2
117	как будто	2	2
118	русской революции	3	2
119	и это	5	2
120	такого рода	2	2
121	для чего	3	2
122	не имеют	2	2
123	в центре	2	2
124	к богу	2	2
125	и должно	3	2
126	но для	2	2
127	хотя и	2	2
128	но в	10	2
