N	2gram	Nazirov_Tr_1	Narrotol
1	не только	8	32
2	может быть	7	25
3	но и	4	23
4	и не	7	20
5	и в	18	19
6	то есть	3	19
7	в том	2	18
8	в этом	9	17
9	в частности	2	14
10	том что	4	14
11	не в	2	14
12	своего рода	3	12
13	то что	4	11
14	не может	5	10
15	при этом	3	9
16	так и	5	9
17	в его	3	9
18	в мире	3	9
19	в себе	4	8
20	как и	5	7
21	еще не	4	7
22	к тому	2	7
23	все же	5	7
24	как в	3	7
25	с его	2	6
26	что он	6	6
27	тем самым	3	6
28	как это	3	6
29	о том	2	6
30	но в	6	6
31	и как	3	5
32	отнюдь не	3	5
33	уже не	2	5
34	к нему	3	5
35	и его	6	5
36	в данном	2	5
37	в отличие	2	5
38	отличие от	2	5
39	в этой	4	5
40	перед нами	2	4
41	прежде всего	4	4
42	в нем	4	4
43	у него	6	4
44	то же	5	4
45	но все	2	4
46	же время	6	4
47	как бы	7	4
48	данном случае	2	4
49	не мог	2	4
50	в рассказе	2	4
51	и с	7	4
52	что в	4	3
53	никогда не	2	3
54	уже в	3	3
55	ни в	2	3
56	одна из	2	3
57	он не	2	3
58	и даже	4	3
59	мог бы	3	3
60	один из	3	3
61	с ее	3	3
62	как говорит	2	3
63	в первом	2	3
64	в ее	2	3
65	столь же	2	3
66	и он	3	3
67	и на	7	3
68	тем что	2	3
69	в то	5	3
70	как будто	3	3
71	что это	5	3
72	он сам	7	2
73	в своем	3	2
74	точно так	2	2
75	говорит о	2	2
76	только о	2	2
77	для него	3	2
78	было в	2	2
79	несмотря на	5	2
80	не имеет	2	2
81	и до	2	2
82	жизнью и	2	2
83	в самую	2	2
84	который в	2	2
85	отношение к	2	2
86	так же	4	2
87	все эти	3	2
88	времени в	2	2
89	это не	5	2
90	в таком	2	2
91	не случайно	2	2
92	и ее	2	2
93	и все	4	2
94	его в	2	2
95	ничего не	2	2
96	о чем	3	2
