N	2gram	Tiupa_Narr_1	Poddanst
1	не только	32	17
2	и в	19	14
3	и не	20	12
4	в области	2	11
5	в этом	17	10
6	то же	4	9
7	в том	18	9
8	в качестве	21	9
9	но в	6	9
10	хотя бы	4	8
11	в пределах	2	8
12	же время	4	7
13	в то	3	7
14	только в	4	7
15	быть может	2	6
16	но и	23	6
17	в ней	3	6
18	было бы	4	6
19	с другой	8	5
20	не в	14	5
21	может быть	25	5
22	же в	4	4
23	то что	11	4
24	что в	3	4
25	в своем	2	4
26	не может	10	4
27	по себе	5	4
28	а в	11	4
29	том что	14	4
30	а также	7	4
31	как бы	4	4
32	и потому	2	4
33	сами по	2	3
34	в нем	4	3
35	столь же	3	3
36	это не	2	3
37	с одной	7	3
38	прежде всего	4	3
39	тем самым	6	3
40	с точки	2	3
41	сводится к	3	3
42	и как	5	3
43	между тем	3	3
44	но не	5	3
45	могут быть	3	3
46	точки зрения	10	3
47	в себе	8	3
48	что мы	2	3
49	одной стороны	7	3
50	наряду с	2	3
51	вслед за	4	3
52	хотя и	3	3
53	не менее	3	2
54	том числе	6	2
55	и тем	4	2
56	в мире	9	2
57	именно в	6	2
58	в частности	14	2
59	время в	2	2
60	отнюдь не	5	2
61	тем более	2	2
62	со стороны	9	2
63	но о	3	2
64	в последние	2	2
65	во всей	2	2
66	как раз	2	2
67	не столько	4	2
68	отношения к	2	2
69	было в	2	2
70	в значительной	2	2
71	а не	12	2
72	точек зрения	2	2
73	в ее	3	2
74	говорить о	2	2
75	если в	3	2
76	есть в	2	2
77	одна из	3	2
78	в силу	4	2
79	переход от	4	2
80	не было	2	2
81	из них	3	2
82	например в	2	2
83	да и	4	2
84	не о	3	2
85	в его	9	2
86	и с	4	2
