N	3gram	Bakhtin_Pr_1	Freidism
1	с точки зрения	15	11
2	по отношению к	11	8
3	во всяком случае	3	7
4	не может быть	3	7
5	в самом деле	2	6
6	в большинстве случаев	2	5
7	то же время	7	4
8	в данном случае	2	4
9	в то же	7	4
10	можно сказать что	2	4
11	в зависимости от	3	4
12	как мы уже	2	4
13	на самом деле	3	4
14	с самого начала	2	3
15	бы то ни	3	3
16	для того чтобы	2	3
17	в его целом	5	2
18	и не может	2	2
19	то ни было	2	2
20	в отличие от	2	2
21	в конце концов	4	2
22	это и есть	3	2
23	в этом отношении	5	2
24	до сих пор	2	2
25	но в то	2	2
26	все то что	3	2
