N	2gram	Propp_Morf_1	Istorich
1	в сказке	15	50
2	и в	13	22
3	мы имеем	9	19
4	в этом	14	17
5	и т	41	16
6	т е	21	16
7	т д	39	15
8	что в	8	15
9	не только	4	14
10	в лес	7	12
11	но и	4	12
12	и не	12	12
13	и пр	37	11
14	может быть	52	11
15	в этих	13	11
16	или в	4	11
17	еще не	3	10
18	таким образом	21	10
19	после чего	2	10
20	но в	2	10
21	что он	4	9
22	что и	7	9
23	в сказках	3	9
24	в том	6	9
25	этот случай	5	8
26	что они	2	8
27	с этим	11	8
28	том что	4	8
29	мы видим	13	8
30	как мы	6	8
31	дома в	2	8
32	другой стороны	4	7
33	с другой	8	7
34	к этому	3	7
35	но не	4	7
36	то что	8	7
37	из них	3	7
38	уже не	2	7
39	этих случаях	11	7
40	и здесь	5	7
41	мы должны	3	7
42	так как	16	7
43	там где	5	7
44	здесь можно	3	6
45	связи с	10	6
46	это не	6	6
47	все еще	3	6
48	не все	6	6
49	а в	7	6
50	то же	7	6
51	женится на	2	6
52	а не	11	6
53	друг друга	3	6
54	мы можем	2	6
55	в ином	2	6
56	во время	6	6
57	ничего не	4	6
58	если бы	2	6
59	не менее	5	5
60	в частности	2	5
61	тем не	5	5
62	есть и	4	5
63	или по	2	5
64	один из	5	5
65	все же	7	5
66	этом случае	8	5
67	что она	2	5
68	он не	3	5
69	что сказка	3	5
70	здесь мы	3	5
71	того что	3	5
72	к нему	3	5
73	могут быть	16	5
74	в некоторых	3	5
75	в этой	2	5
76	и другие	6	4
77	не всегда	9	4
78	видим что	10	4
79	как это	3	4
80	у нас	2	4
81	не в	3	4
82	в пределах	3	4
83	только в	2	4
84	на этом	3	4
85	она не	2	4
86	сказки в	2	4
87	нарушение запрета	2	4
88	для нас	2	4
89	его и	2	4
90	не может	14	4
91	тем что	4	4
92	имеем в	6	4
93	представляют собой	11	4
94	все эти	2	4
95	в других	3	4
96	связана с	3	3
97	состоит в	2	3
98	целый ряд	3	3
99	раньше чем	3	3
100	прежде всего	9	3
101	очень часто	6	3
102	к тому	4	3
103	и к	4	3
104	увидим ниже	5	3
105	а затем	4	3
106	как и	3	3
107	и как	5	3
108	но это	6	3
109	представляет собой	17	3
110	они и	3	3
111	было бы	3	3
112	мы увидим	8	3
113	на его	4	3
114	в целом	3	3
115	не будем	4	3
116	сказка в	3	3
117	быть и	2	3
118	со стороны	3	3
119	что некоторые	2	3
120	в связи	9	3
121	три ночи	2	3
122	следующим образом	3	3
123	а если	4	3
124	так же	3	3
125	сказать что	2	3
126	потому что	3	3
127	и ее	3	3
128	мужа в	2	3
129	из приведенных	2	3
130	далеко не	5	3
131	о том	2	3
132	его в	2	3
133	при помощи	9	3
134	из дому	2	3
135	здесь не	2	3
136	герой бежит	2	3
137	если это	3	3
138	в самых	2	2
139	с тем	2	2
140	независимо от	3	2
141	и есть	2	2
142	и др	10	2
143	вступают в	3	2
144	вовсе не	4	2
145	вопрос о	7	2
146	в тех	6	2
147	можно сказать	2	2
148	во всяком	2	2
149	как таковой	2	2
150	или не	3	2
151	же в	2	2
152	обращаются с	3	2
153	но все	3	2
154	следует за	2	2
155	одна из	4	2
156	ином царстве	2	2
157	как в	3	2
158	в качестве	5	2
159	что там	2	2
160	то время	3	2
161	но есть	3	2
162	например в	2	2
163	хотя и	3	2
164	всяком случае	2	2
165	не имеет	2	2
166	случай мы	3	2
167	не с	2	2
168	то это	3	2
169	отношению к	4	2
170	так и	6	2
171	отправляется в	3	2
172	даже не	3	2
173	сюда же	3	2
174	по отношению	4	2
175	из дома	9	2
176	никто не	3	2
177	образом мы	5	2
178	затем уже	2	2
179	сказки о	6	2
180	на самом	4	2
181	этот вопрос	2	2
182	перейти к	2	2
183	и что	2	2
184	и для	2	2
185	время как	3	2
186	прибывает домой	3	2
187	и сказка	2	2
188	а то	3	2
189	в которых	2	2
190	то мы	4	2
191	между тем	5	2
192	в виде	2	2
193	точки зрения	2	2
194	в другом	2	2
195	в то	3	2
196	ту же	2	2
197	утверждать что	3	2
198	как будто	2	2
199	с того	3	2
200	поставить вопрос	2	2
201	волшебного средства	19	2
202	же можно	2	2
203	большинстве случаев	3	2
204	а также	4	2
205	с собой	3	2
