N	2gram	Vygotskiy__2	Sotsiolo
1	все это	4	7
2	в том	33	5
3	в этом	19	5
4	не в	8	3
5	для нас	4	3
6	и только	3	3
7	но ведь	2	3
8	в его	2	3
9	и в	15	3
10	не только	15	3
11	как только	2	2
12	по отношению	6	2
13	было бы	10	2
14	только в	4	2
15	по существу	5	2
16	и мы	2	2
17	таким образом	14	2
18	том что	27	2
19	то же	5	2
20	отношению к	5	2
21	то что	20	2
22	тем более	3	2
23	может быть	9	2
24	за пределы	2	2
25	в результате	3	2
26	в частности	6	2
27	и что	8	2
28	но и	10	2
29	очевидно что	3	2
30	к которому	6	2
31	как бы	7	2
32	что в	14	2
