N	2gram	Vygotskiy__5	Tragedij
1	и в	16	18
2	в этом	25	9
3	не только	16	8
4	и не	12	7
5	и на	6	7
6	и с	3	7
7	может быть	9	7
8	как бы	5	7
9	что он	25	6
10	и его	3	6
11	у него	6	6
12	но в	6	6
13	все же	3	5
14	к жизни	3	5
15	так и	7	5
16	это не	4	5
17	не может	18	5
18	то же	8	5
19	как и	8	5
20	в то	5	5
21	но и	6	4
22	то что	26	4
23	в целом	4	4
24	что в	16	4
25	все это	2	4
26	я не	2	4
27	прежде всего	3	4
28	в нем	7	4
29	и даже	2	4
30	так же	15	4
31	том что	15	4
32	но это	3	4
33	в этой	6	4
34	что я	2	4
35	и что	12	4
36	еще не	4	4
37	о чем	2	3
38	в своем	5	3
39	никто не	2	3
40	как в	5	3
41	все эти	4	3
42	тем самым	8	3
43	и как	3	3
44	к нему	3	3
45	должно быть	8	3
46	в его	11	3
47	что с	5	3
48	для него	5	3
49	при этом	4	3
50	как будто	2	3
51	как это	8	3
52	с ним	5	3
53	еще в	3	2
54	не имеет	4	2
55	ребенка в	5	2
56	не могут	4	2
57	но они	2	2
58	что и	3	2
59	на всем	2	2
60	только к	2	2
61	в частности	3	2
62	в отличие	2	2
63	то и	2	2
64	в известной	3	2
65	но при	2	2
66	что все	6	2
67	вопрос о	12	2
68	отношение к	11	2
69	говорит что	5	2
70	к тому	6	2
71	столь же	2	2
72	и здесь	2	2
73	в ходе	12	2
74	ребенка и	4	2
75	в том	18	2
76	до конца	3	2
77	говорит о	3	2
78	отличие от	2	2
79	но все	2	2
80	так что	4	2
81	не в	6	2
82	и то	4	2
83	потому что	21	2
84	знает что	2	2
85	в первом	3	2
86	с тем	3	2
87	тем что	5	2
88	чем он	2	2
89	по поводу	2	2
90	о том	8	2
91	его в	2	2
92	что эти	2	2
93	в самом	4	2
94	этими двумя	2	2
95	ничего не	5	2
96	он не	8	2
97	в одном	3	2
98	что она	2	2
99	никогда не	5	2
