N	2gram	Voloshinov_1	Morfolog
1	может быть	14	52
2	и пр	3	40
3	таким образом	12	20
4	не может	16	17
5	в этих	2	16
6	могут быть	2	15
7	и в	12	13
8	в этом	4	13
9	и др	5	12
10	так как	9	12
11	прежде всего	8	9
12	так и	4	9
13	то же	5	9
14	и не	10	9
15	а не	5	9
16	мы имеем	2	9
17	с другой	4	8
18	что и	2	8
19	все же	4	7
20	имеем в	2	7
21	это не	2	6
22	и здесь	2	6
23	в том	6	6
24	но не	2	6
25	в форме	2	6
26	не менее	3	5
27	и другие	2	5
28	как бы	13	5
29	то что	5	5
30	мы не	3	5
31	что в	2	4
32	тем не	3	4
33	отношению к	11	4
34	не только	4	4
35	в некоторых	3	4
36	как в	5	4
37	другой стороны	2	4
38	так же	3	4
39	по отношению	11	4
40	как и	5	4
41	там где	2	4
42	точки зрения	14	4
43	с точки	2	4
44	его в	4	4
45	ничего не	2	4
46	независимо от	2	3
47	если бы	9	3
48	в нашем	11	3
49	между собой	2	3
50	в какой	2	3
51	он должен	3	3
52	к герою	3	3
53	том что	5	3
54	но все	2	3
55	но это	2	3
56	форма в	2	3
57	кроме того	2	3
58	в пределах	3	3
59	он не	2	3
60	ни в	3	3
61	но и	3	3
62	на него	2	3
63	от того	4	3
64	на самом	4	3
65	самом деле	3	3
66	и по	3	3
67	к нему	4	3
68	и для	3	3
69	мы можем	2	3
70	и ее	3	3
71	в то	2	3
72	если же	2	3
73	героя и	5	3
74	но в	5	3
75	и более	3	2
76	хотя бы	5	2
77	к этому	2	2
78	как уже	2	2
79	можно сказать	5	2
80	и к	4	2
81	только в	6	2
82	для него	3	2
83	одной стороны	2	2
84	с героем	3	2
85	но для	3	2
86	себя и	2	2
87	в настоящее	2	2
88	оно не	2	2
89	быть и	3	2
90	и подобные	2	2
91	с одной	2	2
92	все эти	3	2
93	и что	2	2
94	того что	3	2
95	уже не	4	2
96	и его	13	2
97	в каком	3	2
98	настоящее время	2	2
99	или не	3	2
100	что мы	5	2
101	о том	3	2
102	ясно что	3	2
103	здесь не	3	2
104	сказать что	7	2
105	как это	2	2
