N	2gram	Tiupa_Teor_1	FransuaR
1	и в	18	40
2	то есть	12	18
3	и его	8	17
4	прежде всего	2	16
5	в романе	3	15
6	в этом	8	15
7	не только	16	13
8	и не	13	13
9	в его	6	13
10	что в	9	12
11	вовсе не	3	12
12	как и	4	11
13	но и	9	11
14	и т.п	4	10
15	таким образом	3	10
16	в них	2	9
17	может быть	17	9
18	он не	3	9
19	отношение к	5	8
20	в том	16	8
21	все эти	2	8
22	но в	9	8
23	в своем	4	7
24	в одном	2	7
25	то же	7	7
26	в виду	5	7
27	в этих	3	6
28	же время	5	6
29	в самом	4	6
30	в своей	6	6
31	в той	2	6
32	в то	6	6
33	в литературе	2	5
34	как раз	2	5
35	в нем	4	5
36	то что	3	5
37	а не	9	5
38	и для	2	5
39	в основе	3	5
40	для него	2	5
41	в нашем	4	4
42	у нас	2	4
43	том что	9	4
44	и потому	2	4
45	а также	6	4
46	даже в	3	4
47	ни в	2	4
48	один из	2	4
49	в мире	19	4
50	в культуре	2	4
51	в их	2	4
52	все это	2	4
53	так в	4	4
54	роль в	2	4
55	и о	4	4
56	в данном	8	4
57	и даже	2	4
58	и здесь	2	4
59	в области	4	4
60	том числе	2	3
61	с его	5	3
62	если бы	3	3
63	в частности	16	3
64	для понимания	2	3
65	и к	3	3
66	об этом	2	3
67	в ее	5	3
68	в этой	3	3
69	еще не	4	3
70	такого рода	8	3
71	как бы	5	3
72	что и	2	3
73	вместе с	2	3
74	дело не	2	3
75	так и	10	3
76	как в	5	3
77	по отношению	4	3
78	не может	4	3
79	а в	13	3
80	между ними	4	3
81	и как	2	3
82	сказать что	3	3
83	между тем	5	3
84	при этом	12	3
85	в отличие	6	3
86	в себе	9	3
87	в другом	3	3
88	только в	6	3
89	в конце	2	3
90	их в	3	3
91	отличие от	6	3
92	слова в	2	2
93	не менее	4	2
94	времени и	2	2
95	с другой	7	2
96	это не	2	2
97	из этих	3	2
98	и вот	3	2
99	или иной	4	2
100	можно сказать	3	2
101	своей жизни	2	2
102	но не	9	2
103	и другие	2	2
104	в первой	5	2
105	по преимуществу	4	2
106	одним из	2	2
107	к жизни	2	2
108	отношению к	4	2
109	дело в	2	2
110	в целом	3	2
111	своего рода	7	2
112	данном случае	5	2
113	в форме	2	2
114	который в	2	2
115	именно в	3	2
116	лишь в	6	2
117	на основе	2	2
118	потому что	3	2
119	одной из	2	2
120	нового времени	3	2
121	но он	3	2
122	точки зрения	9	2
123	и ее	3	2
124	далеко не	2	2
125	этого слова	3	2
126	и это	2	2
127	в которой	2	2
128	того же	3	2
129	имеет в	2	2
