N	2gram	Propp_Isto_2	NovoeSre
1	а не	5	17
2	не может	5	16
3	и в	15	16
4	и не	11	11
5	и есть	5	10
6	что в	12	9
7	он не	8	8
8	в том	6	8
9	в новой	2	7
10	как и	2	7
11	в этом	11	7
12	может быть	17	7
13	никогда не	15	6
14	не знает	2	6
15	не в	7	6
16	но это	4	6
17	ни в	2	6
18	в нем	7	5
19	все это	3	5
20	в жизни	2	5
21	с ее	2	5
22	в ней	4	5
23	не только	18	5
24	то что	12	4
25	это не	2	4
26	не было	2	4
27	всех сторон	4	4
28	и для	2	4
29	потому что	9	4
30	прежде всего	5	4
31	о том	3	4
32	со всех	4	4
33	но и	14	3
34	с другой	2	3
35	вопрос о	4	3
36	во всех	2	3
37	и пр	7	3
38	к тому	5	3
39	с тем	9	3
40	подобно тому	3	3
41	как в	5	3
42	она не	5	3
43	еще не	9	3
44	тому как	3	3
45	наряду с	6	3
46	сказать что	2	3
47	я не	2	2
48	у него	4	2
49	вместе с	7	2
50	так и	5	2
51	что она	5	2
52	другой стороны	2	2
53	не знал	2	2
54	а в	12	2
55	с одной	4	2
56	все эти	4	2
57	такой же	2	2
58	роль в	3	2
59	того чтобы	2	2
60	одной стороны	3	2
61	зависит от	2	2
62	хотя бы	2	2
63	но не	2	2
64	так же	13	2
65	по существу	2	2
66	мы не	3	2
67	том что	7	2
68	можно было	5	2
69	связана с	6	2
70	в русском	2	2
71	же как	5	2
72	одна из	2	2
73	и с	4	2
74	и что	6	2
75	могут быть	2	2
76	с этим	5	2
77	и на	4	2
78	в себе	4	2
79	не могла	2	2
80	как будто	3	2
81	и это	3	2
82	когда мы	2	2
83	как это	3	2
84	должно было	3	2
85	но в	6	2
86	еще до	2	2
