N	2gram	Propp_Isto_4	Komedia
1	и в	26	22
2	т е	18	13
3	том что	3	12
4	в том	3	11
5	но и	12	11
6	не только	15	10
7	из них	2	10
8	как и	7	9
9	и т	27	9
10	может быть	14	9
11	в одном	5	8
12	таким образом	10	8
13	и не	9	8
14	и его	10	8
15	о том	4	8
16	в этой	2	7
17	и других	3	7
18	что в	14	6
19	что он	10	6
20	ни в	2	6
21	такого рода	2	6
22	и по	5	6
23	то же	8	6
24	не в	5	6
25	а в	8	6
26	уже в	2	5
27	с другой	4	5
28	во время	7	5
29	при этом	3	5
30	в его	5	5
31	на его	3	5
32	в истории	2	5
33	так и	10	5
34	как в	7	5
35	все это	2	5
36	другой стороны	4	5
37	и даже	4	5
38	потому что	6	5
39	к этому	5	4
40	как мы	5	4
41	же в	3	4
42	в другом	5	4
43	что они	6	4
44	в качестве	7	4
45	а также	3	4
46	в нем	2	4
47	что и	9	4
48	на него	3	4
49	подземного царства	2	4
50	так в	4	4
51	т д	24	4
52	тем что	5	4
53	и вот	2	4
54	известно что	2	4
55	так как	9	4
56	но в	5	4
57	мы можем	6	4
58	же как	13	3
59	главным образом	2	3
60	не менее	2	3
61	однако в	2	3
62	в образе	3	3
63	вопрос о	4	3
64	на то	3	3
65	в тех	4	3
66	у нас	2	3
67	и как	5	3
68	после того	2	3
69	и у	5	3
70	в частности	2	3
71	у него	5	3
72	хотя и	2	3
73	он не	7	3
74	даже в	4	3
75	все же	9	3
76	в целом	2	3
77	отношение к	2	3
78	к этим	2	3
79	так же	18	3
80	того как	4	3
81	здесь мы	2	3
82	не мог	3	3
83	и и	3	3
84	и на	2	3
85	в этом	7	3
86	и с	5	3
87	в виде	2	3
88	могут быть	6	3
89	только в	3	3
90	и все	2	3
91	его в	9	3
92	как это	3	3
93	ничего не	5	3
94	и здесь	5	2
95	связанные с	3	2
96	а сам	2	2
97	и во	2	2
98	вовсе не	4	2
99	указывает на	4	2
100	от них	2	2
101	тем не	2	2
102	мы знаем	8	2
103	мы видели	6	2
104	по свидетельству	2	2
105	одна из	2	2
106	на этом	2	2
107	но не	5	2
108	до сих	5	2
109	еще не	6	2
110	было бы	2	2
111	в доме	4	2
112	между прочим	2	2
113	большей частью	3	2
114	указывает что	2	2
115	относится к	3	2
116	ни одной	2	2
117	и тем	2	2
118	видеть в	2	2
119	то что	16	2
120	не к	2	2
121	наряду с	3	2
122	вместе с	6	2
123	все что	4	2
124	только что	3	2
125	не может	6	2
126	в других	2	2
127	что у	3	2
128	в форме	2	2
129	из которых	5	2
130	к нему	6	2
131	в силу	5	2
132	право на	2	2
133	или в	3	2
134	но это	3	2
135	но он	4	2
136	на себя	4	2
137	в себе	2	2
138	по своей	2	2
139	же самое	2	2
140	тех же	2	2
141	на нем	5	2
142	в области	2	2
143	е в	3	2
144	сих пор	5	2
