N	2gram	Potebnia_M_3	Marksizm
1	точки зрения	2	34
2	может быть	28	26
3	и не	15	26
4	не может	6	24
5	и в	30	19
6	и его	4	19
7	таким образом	14	17
8	в этом	10	16
9	как бы	3	15
10	языка в	5	14
11	прежде всего	3	13
12	языка и	2	13
13	как мы	7	13
14	как и	10	12
15	так и	11	11
16	связи с	2	11
17	в самом	8	10
18	в нем	9	10
19	в слове	32	10
20	самом деле	2	10
21	для него	9	9
22	только в	21	9
23	при этом	3	8
24	но и	19	8
25	друг друга	3	8
26	до сих	3	8
27	не только	21	8
28	все же	2	8
29	то что	18	8
30	сих пор	3	8
31	в каждом	3	7
32	так же	3	7
33	в ее	2	7
34	то же	23	7
35	а не	15	7
36	в смысле	4	6
37	в том	32	6
38	другой стороны	4	6
39	в его	4	6
40	мы не	9	6
41	так сказать	2	6
42	с другой	7	5
43	именно в	3	5
44	не в	15	5
45	те же	6	5
46	в начале	3	5
47	и потому	4	5
48	и все	3	5
49	к этому	3	5
50	вовсе не	7	5
51	за пределы	2	5
52	как ее	2	5
53	входит в	2	5
54	того чтобы	3	5
55	ничего общего	2	5
56	может стать	2	5
57	что в	17	4
58	не менее	5	4
59	в ней	8	4
60	от того	8	4
61	слово как	5	4
62	к одному	5	4
63	не столько	2	4
64	а в	12	4
65	и на	3	4
66	сказать что	5	4
67	и между	4	4
68	что слово	7	4
69	с этим	6	4
70	по себе	16	4
71	еще не	5	4
72	было бы	9	4
73	и тот	2	4
74	язык есть	2	4
75	не будет	3	4
76	что же	2	4
77	как в	10	4
78	мысли и	2	4
79	только на	3	4
80	в языке	7	4
81	для того	4	4
82	отношении к	2	4
83	далеко не	4	4
84	место в	3	3
85	этом отношении	2	3
86	и есть	3	3
87	в какой	2	3
88	и от	4	3
89	а как	2	3
90	можно сказать	3	3
91	и как	5	3
92	же время	5	3
93	не дает	2	3
94	в котором	4	3
95	из них	6	3
96	все это	4	3
97	по отношению	5	3
98	не было	4	3
99	того что	18	3
100	к другой	3	3
101	не имеет	6	3
102	с другими	5	3
103	между тем	9	3
104	только при	2	3
105	в то	10	3
106	его в	3	3
107	слово в	4	3
108	оно ни	2	3
109	не существует	3	3
110	смысле этого	7	3
111	первом случае	2	3
112	не могут	5	3
113	в каком	5	3
114	том что	18	3
115	и при	4	3
116	для говорящего	3	3
117	мы должны	4	3
118	действительности и	3	3
119	одной из	2	3
120	он не	4	3
121	не есть	17	3
122	в первом	3	3
123	в своей	2	3
124	целый ряд	2	3
125	это и	2	3
126	и следовательно	3	3
127	но все	2	3
128	эта последняя	2	3
129	слова и	5	3
130	и это	4	3
131	в которой	3	3
132	в области	2	3
133	зависит от	6	2
134	сама по	2	2
135	нужно прибавить	2	2
136	независимо от	5	2
137	тому что	3	2
138	в своем	5	2
139	что все	3	2
140	одной и	4	2
141	его к	2	2
142	слова но	2	2
143	словом и	5	2
144	тем не	3	2
145	все в	2	2
146	ни в	2	2
147	свою очередь	3	2
148	в свою	3	2
149	в действительности	5	2
150	и той	2	2
151	именно эти	2	2
152	зрения и	2	2
153	жизни и	2	2
154	значение не	3	2
155	и даже	2	2
156	должно быть	5	2
157	все остальные	3	2
158	с этой	2	2
159	содержания в	2	2
160	же и	3	2
161	из виду	2	2
162	из этих	9	2
163	о том	2	2
164	так как	13	2
165	бы в	2	2
166	нет ни	2	2
167	в сознании	15	2
168	и с	2	2
169	от этого	2	2
170	по мере	4	2
171	если бы	12	2
172	и та	2	2
173	имеет значение	6	2
174	не как	2	2
175	что он	6	2
176	в себе	16	2
177	художественный образ	2	2
178	что язык	2	2
179	существует для	3	2
180	от него	2	2
181	она не	2	2
182	мы уже	2	2
183	к тому	7	2
184	ни о	3	2
185	одним словом	2	2
186	этого слова	11	2
187	явлений и	2	2
188	не все	4	2
189	что и	13	2
190	отношению к	5	2
191	себя от	2	2
192	к своему	2	2
193	что не	8	2
194	что такое	2	2
195	лишь тогда	2	2
196	той же	2	2
197	говорящего и	3	2
198	в таком	3	2
199	или в	3	2
200	образ и	6	2
201	мы можем	3	2
202	тем что	7	2
203	могут быть	3	2
204	как знак	2	2
205	и вообще	3	2
206	могла бы	2	2
207	не знает	3	2
208	таком случае	2	2
209	там где	3	2
210	от нее	2	2
211	в чем	3	2
212	слово может	5	2
213	из него	2	2
