N	2gram	Potebnia_M_4	Literetu
1	и не	18	22
2	тогда как	4	17
3	и в	23	16
4	в мире	2	16
5	при этом	15	15
6	не только	10	14
7	но и	11	14
8	в этом	23	14
9	а не	12	12
10	то что	29	12
11	может быть	26	12
12	в том	23	12
13	не в	11	10
14	то же	14	9
15	так и	6	9
16	того что	14	9
17	в то	4	9
18	том что	12	8
19	не может	11	8
20	как бы	5	8
21	же время	3	7
22	со стороны	3	7
23	тем самым	4	7
24	точки зрения	4	7
25	я в	2	7
26	только в	15	7
27	состоит в	2	6
28	с другой	2	6
29	к тому	3	6
30	еще не	3	6
31	в его	5	6
32	и его	2	6
33	в себе	14	6
34	о том	8	6
35	это не	7	5
36	что он	4	5
37	в ее	2	5
38	как и	14	5
39	лишь в	3	5
40	вместе с	6	5
41	как в	7	5
42	а именно	4	5
43	а в	5	5
44	именно в	3	5
45	что я	11	5
46	то есть	34	5
47	в поэзии	3	5
48	никогда не	3	4
49	даже в	2	4
50	и если	3	4
51	и для	2	4
52	хотя и	5	4
53	отношению к	8	4
54	данном случае	2	4
55	по отношению	10	4
56	должно быть	5	4
57	в данном	4	4
58	в одном	4	4
59	ни к	2	3
60	только для	2	3
61	и как	2	3
62	то в	3	3
63	например в	3	3
64	и к	6	3
65	на его	3	3
66	в самом	3	3
67	в слове	22	3
68	и тем	4	3
69	но уже	3	3
70	бы и	5	3
71	человеческого духа	6	3
72	уже не	3	3
73	самом деле	3	3
74	говоря словами	2	3
75	с точки	3	3
76	той же	3	3
77	в глазах	2	3
78	тому как	2	3
79	потому что	33	3
80	там где	3	3
81	в области	2	3
82	но в	8	3
83	между тем	9	3
84	что в	17	2
85	она и	2	2
86	не менее	5	2
87	если бы	13	2
88	все более	3	2
89	так или	2	2
90	быть может	4	2
91	что у	3	2
92	жизни к	2	2
93	оно не	2	2
94	не как	2	2
95	он все	2	2
96	я не	2	2
97	не всегда	3	2
98	вопрос о	2	2
99	по себе	11	2
100	и вместе	3	2
101	на то	7	2
102	в нем	7	2
103	у нас	2	2
104	и при	2	2
105	связи с	3	2
106	это последнее	4	2
107	в свою	2	2
108	для него	5	2
109	можно сказать	4	2
110	было бы	8	2
111	что не	6	2
112	не могу	2	2
113	поэзии и	7	2
114	не вполне	2	2
115	один из	2	2
116	не с	2	2
117	то это	8	2
118	что и	7	2
119	отношение к	2	2
120	никем не	2	2
121	в ту	2	2
122	как мы	2	2
123	внимание на	5	2
124	так же	4	2
125	в нас	3	2
126	и только	3	2
127	быть не	2	2
128	художественное произведение	2	2
129	человека в	2	2
130	того чтобы	4	2
131	для того	6	2
132	и даже	2	2
133	или иначе	2	2
134	природы а	4	2
135	с ними	3	2
136	в своих	2	2
137	и на	3	2
138	я говорю	3	2
139	мы и	2	2
140	и с	4	2
141	тем что	10	2
142	подобно тому	2	2
143	за ним	2	2
144	же самое	4	2
145	могли бы	4	2
146	его в	4	2
147	в первом	3	2
148	и потому	10	2
149	одном из	2	2
150	для меня	10	2
