N	2gram	Berdyaev_V_1	VLabPisa
1	в этом	4	26
2	и в	16	25
3	и т	2	24
4	не только	2	22
5	хотя бы	3	20
6	и не	20	19
7	в его	4	15
8	т д	2	15
9	прежде всего	2	13
10	в том	3	13
11	все это	5	12
12	не могут	2	10
13	по этому	3	9
14	что в	3	9
15	для него	2	9
16	но и	5	9
17	все эти	3	8
18	могут быть	2	8
19	как и	4	7
20	том что	2	7
21	во всех	3	7
22	не было	3	7
23	а не	7	7
24	это не	2	6
25	то что	9	6
26	в нем	4	6
27	так и	4	6
28	бы и	3	6
29	их в	3	6
30	между тем	2	6
31	тому что	3	5
32	и есть	4	5
33	как бы	5	5
34	один из	2	5
35	только в	2	5
36	не в	3	5
37	к тому	3	4
38	никогда не	3	4
39	что все	4	4
40	что он	4	4
41	с его	3	4
42	одна из	2	4
43	в своей	3	4
44	в них	3	4
45	вот почему	2	4
46	с тем	2	3
47	в конце	3	3
48	человека и	6	3
49	что они	7	3
50	это мы	2	3
51	что не	4	3
52	вслед за	2	3
53	в котором	4	3
54	нет и	2	3
55	что и	3	3
56	жизни и	3	3
57	ее в	2	3
58	того что	5	3
59	его не	2	3
60	в жизни	3	2
61	и потому	7	2
62	но не	2	2
63	они и	2	2
64	еще не	8	2
65	то это	3	2
66	в ней	4	2
67	а в	2	2
68	того чтобы	2	2
69	и для	3	2
70	можно было	2	2
71	во всяком	2	2
72	хотя и	5	2
73	лишь в	3	2
74	говорить о	4	2
75	самого себя	2	2
76	что мы	4	2
77	в образе	4	2
78	в чем	3	2
79	но в	3	2
