N	2gram	Potebnia_M_3	VelikijI
1	и не	15	20
2	и в	30	16
3	то что	18	9
4	так как	13	9
5	еще не	5	8
6	что они	2	7
7	и потому	4	7
8	а не	15	7
9	человека и	5	6
10	не есть	17	6
11	как бы	3	5
12	но и	19	5
13	все это	4	5
14	что есть	2	5
15	того что	18	5
16	и есть	3	4
17	что все	3	4
18	в образе	3	4
19	что он	6	4
20	в нем	9	4
21	как и	10	4
22	все что	4	4
23	что мы	8	4
24	в котором	4	4
25	так и	11	4
26	что не	8	4
27	потому что	46	4
28	в этом	10	4
29	в ней	8	4
30	говорить о	3	4
31	и все	3	4
32	в его	4	4
33	если не	4	3
34	что в	17	3
35	в них	5	3
36	ни в	2	3
37	в том	32	3
38	не в	15	3
39	но это	6	3
40	за ним	3	3
41	что я	5	3
42	и мы	2	3
43	к тому	7	3
44	оно не	4	3
45	то это	6	3
46	что и	13	3
47	жизни и	2	3
48	в своей	2	3
49	тому что	3	3
50	не было	4	3
51	и что	10	3
52	не имеет	6	3
53	должно быть	5	3
54	их в	2	3
55	от этого	2	3
56	в чем	3	3
57	и теперь	6	2
58	не могут	5	2
59	до того	4	2
60	с тем	7	2
61	на нас	2	2
62	прежде всего	3	2
63	его к	2	2
64	есть уже	11	2
65	для нас	20	2
66	том что	18	2
67	а к	3	2
68	от него	2	2
69	но не	7	2
70	в последнем	3	2
71	не к	4	2
72	для него	9	2
73	когда в	2	2
74	того чтобы	3	2
75	уже на	2	2
76	вслед за	3	2
77	не только	21	2
78	один из	4	2
79	но мы	2	2
80	и т	5	2
81	не будет	3	2
82	в форме	2	2
83	и тогда	3	2
84	т д	3	2
85	а с	2	2
86	все равно	4	2
87	тем что	7	2
88	мы не	9	2
89	уже не	6	2
90	я думаю	2	2
91	для человека	4	2
92	а в	12	2
93	с ним	6	2
94	и то	8	2
95	людей и	2	2
96	между тем	9	2
97	могут быть	3	2
98	самого себя	3	2
99	только в	21	2
100	и это	4	2
101	а между	2	2
