N	2gram	Bakhtin_fo_1	Vladivir
1	и в	50	31
2	не только	9	24
3	но и	8	19
4	то что	6	18
5	и не	14	17
6	у него	6	15
7	и даже	2	15
8	том что	4	14
9	что в	5	14
10	в этом	25	14
11	и с	4	14
12	в его	13	12
13	но в	10	12
14	с его	9	11
15	в том	9	11
16	потому что	4	11
17	и то	4	10
18	также и	2	10
19	он не	5	10
20	никогда не	2	9
21	как мы	14	9
22	а в	3	9
23	в течение	2	9
24	только в	4	9
25	в конце	9	9
26	в дальнейшем	6	8
27	и по	2	8
28	в то	9	8
29	так как	6	8
30	уже в	2	7
31	для него	2	7
32	кроме того	4	7
33	об этом	2	7
34	как раз	13	7
35	и его	16	7
36	сказать что	3	7
37	мы уже	11	7
38	еще и	2	7
39	к этому	3	6
40	и к	2	6
41	в качестве	3	6
42	того же	8	6
43	и потому	3	6
44	может быть	11	6
45	не без	2	6
46	в котором	4	6
47	его жизни	8	6
48	так и	12	6
49	не может	6	6
50	то же	11	6
51	разного рода	2	6
52	все это	4	5
53	вовсе не	13	5
54	не в	5	5
55	а также	2	5
56	что и	3	5
57	жизни и	8	5
58	не было	7	5
59	но он	2	5
60	с ним	2	5
61	же время	9	4
62	в своем	4	4
63	и все	6	4
64	в нем	24	4
65	для нас	2	4
66	к ней	2	4
67	в себе	3	4
68	да и	3	4
69	и вообще	2	4
70	как и	8	4
71	и как	10	4
72	мы и	4	4
73	совсем не	2	4
74	хотя и	3	4
75	один из	3	4
76	в нашем	2	4
77	в своей	2	4
78	ни с	2	4
79	в истории	2	4
80	в этот	2	4
81	в особенности	9	4
82	и у	5	4
83	во всем	2	4
84	как он	2	4
85	дело в	2	4
86	в которой	2	4
87	только к	3	3
88	но на	4	3
89	всей жизни	2	3
90	к тому	3	3
91	отнюдь не	5	3
92	со своей	3	3
93	с другой	2	3
94	раз и	2	3
95	в жизни	6	3
96	как в	6	3
97	к своему	2	3
98	но не	5	3
99	с этими	2	3
100	ничего не	9	3
101	все же	6	3
102	в целом	2	3
103	отношение к	2	3
104	вместе с	3	3
105	только на	3	3
106	в отношении	3	3
107	и стал	2	3
108	в связи	5	3
109	и речи	5	3
110	таким образом	11	3
111	все эти	9	3
112	уже не	2	3
113	жизнь и	4	3
114	и на	8	3
115	на себя	2	3
116	это время	7	3
117	в начале	3	3
118	здесь не	4	3
119	то есть	33	3
120	но она	2	3
121	место в	2	2
122	во многом	2	2
123	тем что	2	2
124	мы будем	2	2
125	с тем	3	2
126	время и	4	2
127	в частности	6	2
128	часто и	2	2
129	нет и	2	2
130	в них	4	2
131	хотя бы	2	2
132	по существу	12	2
133	к концу	3	2
134	что все	2	2
135	ясно что	2	2
136	одной из	3	2
137	ни в	8	2
138	тому же	2	2
139	не были	2	2
140	к своей	2	2
141	то время	4	2
142	еще не	5	2
143	при этом	3	2
144	того что	2	2
145	было бы	2	2
146	в это	2	2
147	совершенно не	2	2
148	в самом	8	2
149	конечно не	4	2
150	к жизни	2	2
151	для себя	7	2
152	и до	5	2
153	уже сказали	2	2
154	характер но	2	2
155	и т	8	2
156	несколько дней	2	2
157	всей его	2	2
158	даже не	2	2
159	и для	4	2
160	были в	2	2
161	чем не	3	2
162	и других	3	2
163	жизнь в	2	2
164	лишь в	6	2
165	того чтобы	5	2
166	для того	5	2
167	что мы	2	2
168	времени в	7	2
169	своей жизни	4	2
170	той же	2	2
171	в результате	6	2
172	во всяком	3	2
173	точки зрения	5	2
174	к себе	4	2
175	в каком	2	2
176	вера в	2	2
177	и еще	2	2
178	того и	2	2
179	мы должны	2	2
180	его на	2	2
181	и это	4	2
182	тех же	2	2
183	всякого рода	2	2
184	по всем	2	2
185	в чем	2	2
186	была уже	2	2
