N	2gram	Vygotskiy__3	NovoeSre
1	а не	7	17
2	не может	7	16
3	и в	38	16
4	совсем не	3	12
5	и не	10	11
6	что в	20	9
7	он не	6	8
8	в том	25	8
9	как и	8	7
10	это есть	2	7
11	в этом	13	7
12	может быть	19	7
13	никогда не	4	6
14	не в	12	6
15	но это	3	6
16	ни в	3	6
17	должен быть	3	5
18	в нем	4	5
19	все это	3	5
20	с ее	2	5
21	и к	3	5
22	в ней	15	5
23	не только	12	5
24	то что	35	4
25	наше время	2	4
26	в них	3	4
27	и все	10	4
28	не имеет	6	4
29	и для	4	4
30	потому что	14	4
31	по своему	4	4
32	и мы	13	4
33	о том	6	4
34	но и	5	3
35	должна быть	5	3
36	в своей	5	3
37	в истории	2	3
38	с другой	7	3
39	в наше	2	3
40	во всех	4	3
41	к тому	6	3
42	растет и	2	3
43	в ее	7	3
44	в основе	3	3
45	с тем	8	3
46	конечно не	4	3
47	как в	4	3
48	она не	6	3
49	наряду с	3	3
50	сказать что	4	3
51	к ним	3	3
52	что все	3	2
53	я не	5	2
54	том и	2	2
55	все время	30	2
56	место в	3	2
57	у него	4	2
58	вместе с	5	2
59	все они	2	2
60	что она	16	2
61	для этого	2	2
62	к самой	2	2
63	другой стороны	5	2
64	а в	7	2
65	с одной	6	2
66	все эти	4	2
67	думать что	2	2
68	на гибель	2	2
69	уже не	2	2
70	такой же	2	2
71	того чтобы	9	2
72	одной стороны	5	2
73	и даже	4	2
74	хотя бы	2	2
75	так же	2	2
76	по существу	2	2
77	время как	4	2
78	мы не	5	2
79	том что	14	2
80	есть в	2	2
81	можно назвать	2	2
82	одна из	4	2
83	и что	18	2
84	с этим	8	2
85	и на	6	2
86	не к	3	2
87	в себе	4	2
88	ли это	2	2
89	в то	3	2
90	не могла	2	2
91	как будто	4	2
92	и это	8	2
93	не имеют	2	2
94	когда мы	2	2
95	как это	6	2
96	не могли	4	2
97	но в	3	2
