N	2gram	Berdyaev_V_1	StatiiOP
1	и в	16	25
2	в этом	4	24
3	в том	3	20
4	что в	3	19
5	что он	4	19
6	тем что	2	19
7	том что	2	15
8	в его	4	12
9	то что	9	12
10	не только	2	12
11	в этих	3	11
12	прежде всего	2	10
13	и не	20	10
14	но и	5	9
15	и т	2	8
16	все это	5	8
17	это не	2	7
18	в конце	3	6
19	не в	3	6
20	только в	2	6
21	как бы	5	6
22	а в	2	6
23	между тем	2	6
24	в них	3	5
25	потому что	4	5
26	ни в	3	5
27	в котором	4	5
28	и это	2	5
29	а не	7	5
30	того что	5	5
31	так и	4	5
32	но в	3	5
33	с тем	2	4
34	в жизни	3	4
35	как и	4	4
36	но это	3	4
37	в ней	4	4
38	в своей	3	4
39	всего в	2	4
40	не было	3	4
41	лишь в	3	4
42	в чем	3	4
43	и для	3	4
44	во всяком	2	4
45	что все	4	3
46	с его	3	3
47	тому что	3	3
48	для него	2	3
49	что я	3	3
50	и что	3	3
51	все эти	3	3
52	по этому	3	3
53	уже не	2	3
54	что мы	4	3
55	не так	2	3
56	говорить о	4	3
57	так как	9	3
58	а с	2	2
59	никогда не	3	2
60	и во	2	2
61	в духе	2	2
62	его к	2	2
63	к тому	3	2
64	что они	7	2
65	но не	2	2
66	в последнем	2	2
67	еще не	8	2
68	во всех	3	2
69	одна из	2	2
70	нет и	2	2
71	этих трех	3	2
72	один из	2	2
73	я думаю	2	2
74	и за	2	2
75	ее в	2	2
76	в форме	2	2
77	и тогда	2	2
78	т д	2	2
79	и последний	2	2
80	что не	4	2
81	его не	2	2
82	мы не	2	2
83	могут быть	2	2
84	не имеет	3	2
85	не имел	2	2
