N	2gram	Tiupa_Vved_1	Poddanst
1	не только	20	17
2	и в	13	14
3	и не	12	12
4	в области	3	11
5	в этом	21	10
6	то же	5	9
7	в том	10	9
8	в качестве	8	9
9	но в	6	9
10	в пределах	2	8
11	же время	3	7
12	в то	4	7
13	только в	6	7
14	но и	19	6
15	в ней	4	6
16	было бы	4	6
17	с другой	5	5
18	не в	6	5
19	может быть	18	5
20	в котором	8	4
21	то что	6	4
22	что в	3	4
23	если бы	7	4
24	в своем	5	4
25	не может	7	4
26	но также	2	4
27	по себе	2	4
28	и к	2	4
29	а в	6	4
30	том что	7	4
31	а также	8	4
32	как бы	4	4
33	в нем	5	3
34	это не	6	3
35	с одной	5	3
36	прежде всего	7	3
37	тем самым	5	3
38	сводится к	4	3
39	мы не	4	3
40	но не	5	3
41	могут быть	4	3
42	в себе	5	3
43	что мы	2	3
44	одной стороны	5	3
45	наряду с	2	3
46	вслед за	2	3
47	потому что	5	3
48	хотя и	7	3
49	не менее	4	2
50	и тем	2	2
51	в мире	8	2
52	начала и	2	2
53	не к	4	2
54	для них	3	2
55	во всех	2	2
56	в частности	13	2
57	отнюдь не	7	2
58	в е	2	2
59	со стороны	5	2
60	в них	2	2
61	но о	2	2
62	как раз	2	2
63	не столько	4	2
64	в жизни	4	2
65	а не	15	2
66	того что	6	2
67	слова но	2	2
68	точек зрения	2	2
69	для нас	2	2
70	говорить о	2	2
71	если в	2	2
72	есть в	2	2
73	одна из	4	2
74	в силу	2	2
75	не было	2	2
76	в начале	3	2
77	например в	2	2
78	в ряду	2	2
79	где в	3	2
80	никак не	2	2
81	не о	2	2
82	в его	4	2
83	и с	2	2
