N	2gram	Medvedev_U_1	Psycholo
1	то что	7	32
2	и в	14	31
3	в том	2	30
4	может быть	6	22
5	таким образом	2	20
6	художественного произведения	2	17
7	не может	7	17
8	как и	3	16
9	том что	2	16
10	и не	8	16
11	только в	2	14
12	а не	10	13
13	не только	10	13
14	что и	2	13
15	мы не	2	12
16	в этом	7	12
17	в самом	2	11
18	могут быть	2	11
19	не в	2	11
20	в области	3	11
21	художественное произведение	5	10
22	по себе	2	9
23	самом деле	2	9
24	все это	5	8
25	что мы	2	8
26	что он	2	7
27	очевидно что	3	6
28	художественного творчества	5	6
29	было бы	3	6
30	если бы	2	6
31	что она	2	6
32	в его	2	6
33	художественной формы	2	5
34	формы и	2	5
35	все же	3	5
36	другой стороны	3	5
37	и для	2	5
38	то же	5	5
39	с другой	4	5
40	в то	3	5
41	искусства как	2	4
42	прежде всего	8	4
43	в себе	2	4
44	по существу	2	4
45	формы в	3	4
46	у нас	3	4
47	для всех	2	4
48	и у	2	4
49	в искусстве	6	4
50	между тем	2	4
51	не могут	2	3
52	в частности	3	3
53	думается что	2	3
54	конечном счете	4	3
55	его и	2	3
56	что все	2	3
57	должна быть	2	3
58	но это	2	3
59	но не	2	3
60	до сих	2	3
61	в этой	4	3
62	в конечном	4	3
63	художественном произведении	2	3
64	сих пор	2	3
65	не есть	2	3
66	в своей	3	3
67	и только	5	3
68	в конце	2	3
69	в художественном	5	3
70	конце концов	2	3
71	но в	3	3
72	как прием	2	2
73	этом смысле	2	2
74	но даже	2	2
75	или иных	2	2
76	смысле этого	2	2
77	должна была	2	2
78	фактов и	2	2
79	о чем	2	2
80	что такое	4	2
81	тех или	2	2
82	форму и	2	2
83	но и	4	2
84	как раз	2	2
85	этом отношении	2	2
86	же самое	2	2
87	этой области	3	2
88	ничего не	2	2
89	нас в	2	2
90	и с	2	2
91	мы получаем	2	2
92	бы и	2	2
93	и то	3	2
