N	2gram	Bakhtin_fo_1	NovoeSre
1	а не	3	17
2	не может	6	16
3	и в	50	16
4	совсем не	2	12
5	и не	14	11
6	что в	5	9
7	жизни и	8	8
8	он не	5	8
9	в том	9	8
10	как и	8	7
11	в этом	25	7
12	может быть	11	7
13	с его	9	6
14	никогда не	2	6
15	не знает	3	6
16	не в	5	6
17	лишь в	6	6
18	ни в	8	6
19	в нем	24	5
20	все это	4	5
21	в жизни	6	5
22	с ее	6	5
23	и к	2	5
24	в ней	4	5
25	не только	9	5
26	то что	6	4
27	в них	4	4
28	большую роль	3	4
29	это не	6	4
30	и все	6	4
31	не было	7	4
32	не имеет	4	4
33	и для	4	4
34	потому что	4	4
35	прежде всего	15	4
36	и потому	3	4
37	к жизни	2	3
38	жизни не	3	3
39	но и	8	3
40	в своей	2	3
41	в истории	2	3
42	жизни в	8	3
43	с другой	2	3
44	вопрос о	2	3
45	человека и	11	3
46	во всех	6	3
47	к тому	3	3
48	в ее	6	3
49	в основе	5	3
50	с тем	3	3
51	жизни которые	2	3
52	смысле слова	2	3
53	конечно не	4	3
54	как в	6	3
55	еще не	5	3
56	наряду с	5	3
57	сказать что	3	3
58	к ним	2	3
59	в новое	3	3
60	времени в	7	2
61	что все	2	2
62	времени и	10	2
63	нем нет	2	2
64	место в	2	2
65	у него	6	2
66	вместе с	3	2
67	но она	2	2
68	так и	12	2
69	и т.п	4	2
70	формы и	3	2
71	мир и	2	2
72	а в	3	2
73	с одной	3	2
74	все эти	9	2
75	уже не	2	2
76	нет и	2	2
77	роль в	9	2
78	того чтобы	5	2
79	одной стороны	2	2
80	нового типа	2	2
81	и даже	2	2
82	хотя бы	2	2
83	но не	5	2
84	ни к	3	2
85	так же	6	2
86	по существу	12	2
87	время как	5	2
88	мы не	3	2
89	том что	4	2
90	связаны с	3	2
91	есть в	2	2
92	же как	2	2
93	можно назвать	2	2
94	одна из	2	2
95	и с	4	2
96	могут быть	5	2
97	с этим	6	2
98	равно как	2	2
99	и на	8	2
100	не к	2	2
101	в мировой	2	2
102	в себе	3	2
103	с их	2	2
104	в то	9	2
105	и это	4	2
106	не имеют	3	2
107	в центре	2	2
108	xviii века	3	2
109	но для	2	2
110	хотя и	3	2
111	но в	10	2
