N	3gram	Tiupa_Narr_1	Hudozhes
1	в том что	5	11
2	о том что	2	7
3	по отношению к	3	7
4	даме с собачкой	6	6
5	в даме с	5	5
6	так и не	2	4
7	то же время	4	4
8	подобно тому как	3	4
9	в то же	4	4
10	в самом деле	2	3
11	в соответствии с	4	3
12	не может быть	4	3
13	тем не менее	3	3
14	для того чтобы	3	3
15	в данном случае	8	2
16	с анной сергеевной	5	2
17	что у нее	2	2
18	состоит в том	2	2
19	вместе с серым	2	2
20	до сих пор	2	2
21	к тому же	5	2
22	на другой день	3	2
23	то же самое	2	2
24	идет по полю	2	2
25	в этом и	3	2
26	не только в	6	2
