N	2gram	Trubetskoy_1	NovoeSre
1	а не	5	17
2	не может	4	16
3	и в	26	16
4	и не	8	11
5	что в	9	9
6	в эпоху	7	9
7	жизни и	2	8
8	он не	4	8
9	в том	11	8
10	культуры и	3	7
11	в этом	15	7
12	может быть	10	7
13	с его	2	6
14	никогда не	5	6
15	не в	2	6
16	лишь в	5	6
17	от бога	2	6
18	в нем	4	5
19	все это	6	5
20	и к	5	5
21	не только	10	5
22	не менее	3	4
23	то что	7	4
24	перестает быть	2	4
25	в них	2	4
26	и все	2	4
27	не было	2	4
28	не имеет	5	4
29	и для	5	4
30	народные массы	2	4
31	потому что	7	4
32	по своему	2	4
33	прежде всего	2	4
34	о том	6	4
35	и потому	6	4
36	к жизни	5	3
37	но и	9	3
38	волю к	2	3
39	с другой	8	3
40	во всех	2	3
41	к тому	6	3
42	в мире	5	3
43	бога и	4	3
44	с тем	18	3
45	конечно не	2	3
46	еще не	2	3
47	в россии	2	3
48	сказать что	2	3
49	к ним	3	3
50	что все	4	2
51	вместе с	15	2
52	так и	6	2
53	для этого	2	2
54	эпоху когда	2	2
55	в религиозном	7	2
56	и от	4	2
57	а в	4	2
58	с одной	7	2
59	все эти	6	2
60	уже не	3	2
61	того чтобы	5	2
62	одной стороны	7	2
63	и даже	3	2
64	хотя бы	3	2
65	но не	8	2
66	так же	5	2
67	по существу	2	2
68	том что	7	2
69	в смысле	4	2
70	связана с	2	2
71	в русском	2	2
72	же как	3	2
73	можно назвать	2	2
74	и с	10	2
75	и что	4	2
76	силы и	2	2
77	и на	2	2
78	не к	2	2
79	в себе	6	2
80	ли это	2	2
81	в то	4	2
82	не могла	2	2
83	и это	2	2
84	к богу	3	2
85	должно было	2	2
86	но в	7	2
87	в новом	2	2
