N	2gram	Potebnia_M_2	Stilisti
1	и в	24	42
2	как бы	9	27
3	не только	15	27
4	прежде всего	7	22
5	хотя бы	2	17
6	но и	9	15
7	то же	12	15
8	и не	19	14
9	может быть	23	12
10	не может	12	12
11	как и	7	11
12	и как	6	10
13	что мы	11	10
14	мы должны	2	10
15	в этом	8	10
16	при этом	13	9
17	в то	6	9
18	то что	20	9
19	для того	5	9
20	мы не	11	9
21	все же	5	8
22	в ней	3	8
23	слово как	2	8
24	таким образом	11	8
25	с тем	4	8
26	тем самым	4	8
27	в себе	10	8
28	и это	2	8
29	никогда не	4	7
30	и от	3	7
31	же время	2	7
32	и тем	3	7
33	и на	8	7
34	потому что	49	7
35	так как	10	7
36	с его	2	7
37	было бы	13	7
38	а не	18	7
39	того чтобы	2	7
40	и его	2	7
41	мы можем	12	7
42	только в	11	7
43	в которой	5	7
44	не в	13	6
45	в свою	6	6
46	когда мы	2	6
47	в нем	9	6
48	во всех	7	6
49	так и	5	6
50	слова в	5	5
51	уже в	5	5
52	чичикова и	4	5
53	независимо от	9	5
54	в нашем	2	5
55	тому что	2	5
56	и той	2	5
57	и следовательно	2	5
58	и их	5	5
59	те же	3	5
60	а в	8	5
61	как это	2	5
62	в сознании	23	5
63	что язык	2	5
64	одно и	2	5
65	в его	2	5
66	вместе с	11	5
67	той же	3	5
68	слова и	3	5
69	самого начала	2	4
70	что это	3	4
71	мы называем	3	4
72	в каждом	2	4
73	влияние на	4	4
74	с самого	2	4
75	которой мы	2	4
76	но все	2	4
77	свою очередь	6	4
78	было в	2	4
79	в самом	4	4
80	один из	2	4
81	в словах	3	4
82	все это	2	4
83	языка и	3	4
84	того что	7	4
85	так же	2	4
86	в обществе	2	4
87	о том	5	4
88	его в	3	4
89	бы в	2	4
90	но в	4	4
91	если бы	11	4
92	у нас	2	4
93	мы видим	2	4
94	не знаем	2	4
95	если б	5	4
96	на него	3	4
97	а с	2	4
98	если мы	3	4
99	уже не	4	4
100	самом деле	2	4
101	тем же	3	4
102	в слове	13	4
103	и то	3	4
104	то есть	30	4
105	так сказать	4	4
106	что у	2	3
107	это не	3	3
108	главным образом	4	3
109	человеческой речи	5	3
110	слова но	2	3
111	для нас	31	3
112	мы легко	2	3
113	которое может	2	3
114	но что	2	3
115	хотя и	3	3
116	в котором	4	3
117	не имеем	3	3
118	и уже	5	3
119	в целом	3	3
120	из них	5	3
121	от того	5	3
122	заключает в	4	3
123	мертвых душ	5	3
124	что оно	4	3
125	не так	3	3
126	их в	2	3
127	сказать что	2	3
128	и здесь	2	3
129	и все	3	3
130	в одном	6	3
131	этого слова	6	3
132	том что	8	3
133	еще не	4	3
134	мы в	3	3
135	что и	11	3
136	отношения к	2	3
137	вряд ли	3	3
138	связь между	2	3
139	на самом	2	3
140	если не	4	3
141	что такое	2	3
142	между ними	2	3
143	и для	3	3
144	то мы	2	3
145	связи с	6	3
146	может стать	2	3
147	и поэтому	2	3
148	место в	4	2
149	быть может	7	2
150	зависит от	2	2
151	в душе	23	2
152	но даже	3	2
153	в какой	2	2
154	человека и	3	2
155	человека в	3	2
156	вопрос о	2	2
157	в том	18	2
158	но это	3	2
159	очевидно что	3	2
160	значением слова	2	2
161	для него	10	2
162	но мы	3	2
163	не с	3	2
164	в этих	3	2
165	в нас	3	2
166	как например	3	2
167	в связи	2	2
168	не было	6	2
169	все эти	2	2
170	сделать его	2	2
171	у человека	2	2
172	должно быть	2	2
173	его не	3	2
174	даже и	2	2
175	в разговоре	2	2
176	от нашего	2	2
177	к которому	2	2
178	в жизни	2	2
179	смысле этого	3	2
180	от их	4	2
181	с этим	7	2
182	себе в	3	2
183	языка мы	2	2
184	к этому	2	2
185	связанные с	2	2
186	значение и	2	2
187	не должно	2	2
188	что он	4	2
189	членораздельный звук	9	2
190	есть не	5	2
191	только тогда	3	2
192	только потому	2	2
193	а к	2	2
194	и при	3	2
195	но не	12	2
196	связано с	2	2
197	тот же	5	2
198	помнить что	3	2
199	и потому	2	2
200	не есть	6	2
201	как не	3	2
202	сих пор	4	2
203	как в	10	2
204	бы не	5	2
205	одной и	2	2
206	допустим что	2	2
207	с ним	5	2
208	или в	2	2
209	в языке	3	2
210	между двумя	6	2
211	тем что	7	2
212	в каком	3	2
213	и вообще	3	2
214	заметить что	6	2
