N	2gram	Losev_Dial_1	Marksizm
1	может быть	17	28
2	и пр	5	25
3	и в	18	19
4	как бы	11	19
5	и не	30	19
6	не может	12	18
7	точки зрения	17	17
8	то же	10	16
9	как мы	4	15
10	в этом	12	15
11	не только	13	13
12	с точки	12	13
13	в нем	16	11
14	если бы	12	11
15	вовсе не	7	11
16	не в	6	10
17	но и	7	10
18	том что	9	10
19	так и	9	10
20	для него	2	9
21	в основе	3	9
22	как и	2	9
23	это –	24	9
24	самом деле	3	9
25	а не	14	9
26	отнюдь не	9	8
27	же время	4	8
28	не является	3	8
29	в то	6	8
30	только в	3	8
31	никогда не	9	7
32	в том	9	7
33	но в	6	7
34	и более	4	7
35	прежде всего	10	7
36	на самом	3	7
37	и для	2	7
38	к тому	4	6
39	ни в	15	6
40	и как	7	6
41	в самом	3	6
42	и следовательно	2	6
43	ни было	2	6
44	и все	3	6
45	быть и	4	6
46	если мы	2	6
47	– не	11	6
48	для того	2	6
49	хотя бы	6	6
50	мы можем	4	6
51	– как	5	5
52	или иной	3	5
53	является не	2	5
54	к нему	8	5
55	в их	3	5
56	так же	4	5
57	к этому	2	5
58	– и	3	5
59	– вот	3	5
60	совершенно не	8	5
61	в его	3	5
62	все же	5	5
63	в данном	3	5
64	тем более	2	5
65	отношении к	3	5
66	должна быть	3	4
67	тому что	3	4
68	в отношении	5	4
69	это не	9	4
70	на то	5	4
71	той или	7	4
72	по мере	2	4
73	то что	13	4
74	и их	2	4
75	того что	2	4
76	с ними	2	4
77	сказать что	10	4
78	бы в	3	4
79	как раз	4	4
80	– в	4	4
81	что он	11	4
82	было бы	12	4
83	конечно не	3	4
84	– это	9	4
85	только на	3	4
86	в себе	11	4
87	ничего не	17	4
88	не существует	7	3
89	учение о	11	3
90	не идет	2	3
91	в этих	5	3
92	с другой	6	3
93	и от	2	3
94	да и	6	3
95	одной стороны	2	3
96	в ней	3	3
97	в котором	4	3
98	в каком	8	3
99	а в	5	3
100	с этим	2	3
101	с одной	2	3
102	что оно	5	3
103	все эти	2	3
104	в другом	2	3
105	не имеет	15	3
106	должно быть	3	3
107	не было	6	3
108	о том	4	3
109	так как	11	3
110	сознания и	3	3
111	не как	2	3
112	по себе	25	3
113	в качестве	2	3
114	одно и	4	3
115	до сих	2	3
116	еще не	2	3
117	в корне	2	3
118	он не	3	3
119	относится к	2	3
120	что и	3	3
121	не есть	40	3
122	в своей	2	3
123	мысли и	3	3
124	только что	3	3
125	форму и	2	3
126	лежащая в	3	3
127	с другими	2	3
128	и то	9	3
129	во всяком	4	3
130	могут быть	3	3
131	и это	2	3
132	сих пор	2	3
133	что в	13	2
134	что это	11	2
135	точку зрения	3	2
136	эти последние	2	2
137	и философии	2	2
138	не знает	2	2
139	вопрос о	2	2
140	нас не	2	2
141	тому же	2	2
142	лишь как	2	2
143	что они	3	2
144	более или	3	2
145	как о	2	2
146	но что	3	2
147	о чем	2	2
148	и у	2	2
149	всяком случае	2	2
150	другими словами	2	2
151	жизни и	3	2
152	в своем	5	2
153	в особенности	5	2
154	отношения к	3	2
155	всегда и	3	2
156	именно в	2	2
157	и даже	13	2
158	можем сказать	2	2
159	и с	5	2
160	по крайней	4	2
161	даже и	3	2
162	именно как	2	2
163	он и	2	2
164	и является	2	2
165	но как	2	2
166	стремится к	2	2
167	но они	2	2
168	от этого	3	2
169	и почти	3	2
170	стороны и	3	2
171	не с	5	2
172	– то	2	2
173	но не	4	2
174	здесь в	2	2
175	ли это	3	2
176	мы увидим	2	2
177	и о	3	2
178	и потому	3	2
179	зрения самого	2	2
180	крайней мере	4	2
181	нем нет	3	2
182	но к	2	2
183	или менее	3	2
184	и тогда	2	2
185	а с	2	2
186	еще более	3	2
187	– мы	3	2
188	что не	7	2
189	и эта	2	2
190	и он	5	2
191	чтобы понять	3	2
192	об одном	2	2
193	то мы	2	2
194	в виде	2	2
195	только с	3	2
196	от него	4	2
197	это было	2	2
