N	3gram	Medvedev_F_2	Marksizm
1	с точки зрения	7	13
2	не может быть	10	10
3	то же время	5	8
4	в то же	5	8
5	в связи с	10	7
6	в том что	2	6
7	для того чтобы	3	6
8	с самого начала	2	5
9	в самом деле	5	5
10	в большинстве случаев	3	5
11	может быть и	3	5
12	и пр и	4	4
13	на самом деле	3	4
14	к тому что	2	3
15	пр и пр	4	3
16	в отличие от	2	3
17	и не может	3	3
18	и не в	2	3
19	как мы видели	4	3
20	языка и его	5	3
21	в высшей степени	4	3
22	и пр но	3	2
23	того или иного	4	2
24	в зависимости от	3	2
25	в значительной степени	3	2
26	во всяком случае	5	2
27	чем же является	2	2
28	и прежде всего	2	2
29	хотя бы в	3	2
30	но и в	3	2
31	быть и речи	3	2
