N	2gram	Medvedev_V_1	TeoriaLi
1	не только	25	18
2	в качестве	11	17
3	и не	19	16
4	а в	3	14
5	в частности	11	13
6	и в	26	13
7	может быть	22	12
8	так и	5	12
9	в этом	26	11
10	в том	15	11
11	но не	2	10
12	а не	7	10
13	и его	6	10
14	в его	14	9
15	то же	10	9
16	сводится к	3	8
17	что в	10	8
18	отношению к	7	8
19	но и	10	8
20	по отношению	7	8
21	в себе	6	7
22	том что	8	7
23	точки зрения	3	7
24	в то	6	7
25	только в	7	7
26	как это	12	7
27	с его	3	6
28	же время	5	6
29	еще не	2	6
30	лишь в	2	6
31	как бы	5	6
32	но в	2	6
33	в своем	8	5
34	или иной	2	5
35	в ее	4	5
36	как и	7	5
37	не в	6	5
38	в пределах	5	5
39	между ними	3	5
40	в самом	4	5
41	того или	2	5
42	в нем	6	5
43	он не	2	5
44	с другой	11	5
45	между тем	5	5
46	мы имеем	3	5
47	в искусстве	6	5
48	не менее	2	4
49	конечном счете	5	4
50	не столько	2	4
51	можно сказать	4	4
52	более или	6	4
53	в конечном	7	4
54	в своей	4	4
55	то что	6	4
56	в форме	3	4
57	или менее	6	4
58	в их	5	4
59	приводит к	5	4
60	не может	17	4
61	в слове	3	4
62	сказать что	5	4
63	хотя и	2	4
64	и ее	4	4
65	говорить о	2	4
66	всего лишь	3	4
67	мира и	3	4
68	перед нами	4	3
69	в порядке	5	3
70	художественного творчества	18	3
71	и др	9	3
72	никогда не	4	3
73	в противоположность	3	3
74	прежде всего	13	3
75	художественного произведения	6	3
76	и к	3	3
77	а всего	3	3
78	для него	8	3
79	того что	3	3
80	например в	3	3
81	и потому	2	3
82	в воображении	2	3
83	другой стороны	8	3
84	как раз	3	3
85	таким образом	31	3
86	именно в	2	3
87	в другом	2	3
88	и по	3	3
89	или в	3	3
90	в этой	4	3
91	его в	3	3
92	все эти	6	3
93	в художественном	10	3
94	только не	2	2
95	о чем	2	2
96	если бы	3	2
97	могут быть	5	2
98	в конце	3	2
99	это не	7	2
100	вовсе не	3	2
101	по себе	2	2
102	что он	4	2
103	к тому	4	2
104	об этом	9	2
105	говоря иначе	3	2
106	но как	3	2
107	и как	3	2
108	что они	3	2
109	говорит в	3	2
110	одной стороны	2	2
111	в противном	2	2
112	о своем	2	2
113	из которых	2	2
114	вслед за	2	2
115	к его	2	2
116	в виду	4	2
117	даже в	5	2
118	как говорит	5	2
119	в целом	4	2
120	во всех	6	2
121	вместе с	7	2
122	в романе	4	2
123	и для	2	2
124	с одной	2	2
125	это и	6	2
126	в году	6	2
127	и даже	2	2
128	во всей	2	2
129	так же	3	2
130	роль в	4	2
131	их в	6	2
132	у него	6	2
133	даже самая	2	2
134	не следует	8	2
135	о том	10	2
136	в чем	2	2
137	в которой	2	2
138	в области	2	2
139	противном случае	2	2
