N	2gram	Trubetskoy_1	Komedia
1	и в	26	22
2	том что	7	12
3	в том	11	11
4	но и	9	11
5	не только	10	10
6	из них	7	10
7	в то	4	10
8	может быть	10	9
9	в одном	3	8
10	таким образом	22	8
11	и не	8	8
12	о том	6	8
13	в этой	4	7
14	что в	9	6
15	в отношении	6	6
16	в конце	6	6
17	что он	4	6
18	к тому	6	6
19	тому же	5	6
20	и по	4	6
21	то же	4	6
22	не в	2	6
23	а в	4	6
24	в которой	3	6
25	уже в	2	5
26	с другой	8	5
27	во время	4	5
28	прежде всего	2	5
29	когда же	2	5
30	при этом	3	5
31	в его	5	5
32	один из	2	5
33	в народном	3	5
34	так и	6	5
35	все это	6	5
36	и даже	3	5
37	потому что	7	5
38	между тем	2	5
39	именно в	2	4
40	к этому	3	4
41	ясно что	3	4
42	несмотря на	6	4
43	в качестве	3	4
44	же время	2	4
45	а также	2	4
46	в котором	4	4
47	и особенно	2	4
48	в нем	4	4
49	что и	6	4
50	в результате	3	4
51	точки зрения	13	4
52	конце концов	3	4
53	так как	9	4
54	но в	7	4
55	мы можем	2	4
56	после смерти	10	3
57	же как	3	3
58	главным образом	8	3
59	не менее	3	3
60	в них	2	3
61	в образе	2	3
62	на то	2	3
63	и как	3	3
64	по своему	2	3
65	тот же	2	3
66	одной стороны	7	3
67	одной из	5	3
68	в начале	2	3
69	и у	8	3
70	и о	3	3
71	он не	4	3
72	все же	6	3
73	отношению к	3	3
74	отношение к	5	3
75	так же	5	3
76	этом отношении	2	3
77	с одной	7	3
78	в течение	4	3
79	и на	2	3
80	в этом	15	3
81	и с	10	3
82	в виде	4	3
83	только в	4	3
84	и все	2	3
85	к которому	2	3
86	и здесь	2	2
87	в рамках	3	2
88	ни было	2	2
89	для всех	2	2
90	связанные с	7	2
91	то ни	2	2
92	и мир	2	2
93	к сожалению	3	2
94	на все	2	2
95	образом в	5	2
96	в свою	2	2
97	от них	2	2
98	тем не	3	2
99	мы видели	2	2
100	из всех	3	2
101	должна была	2	2
102	но не	8	2
103	того же	6	2
104	до сих	5	2
105	еще не	2	2
106	и из	2	2
107	в самом	4	2
108	большей частью	3	2
109	относится к	2	2
110	всяком случае	6	2
111	то что	7	2
112	бы то	2	2
113	не к	2	2
114	вместе с	15	2
115	все что	2	2
116	или менее	5	2
117	вслед за	2	2
118	только что	2	2
119	для этого	2	2
120	не может	4	2
121	и таким	3	2
122	в других	3	2
123	из которых	4	2
124	к нему	7	2
125	быть даже	2	2
126	в силу	5	2
127	путь к	3	2
128	во всяком	6	2
129	в себе	6	2
130	по своей	2	2
131	же самое	2	2
132	в области	9	2
133	ли это	2	2
134	или по	2	2
135	сих пор	5	2
