N	2gram	Bakhtin_Fr_7	DiskursI
1	в качестве	9	34
2	не только	5	28
3	в том	11	23
4	а не	2	22
5	то есть	20	20
6	том что	4	19
7	может быть	4	17
8	и в	41	16
9	как и	14	16
10	в этом	15	15
11	еще не	2	14
12	но и	9	14
13	при этом	3	13
14	и т.п	9	12
15	прежде всего	11	11
16	и не	7	11
17	как в	5	10
18	далеко не	2	10
19	в нем	7	9
20	отношению к	2	9
21	по отношению	2	9
22	не может	3	9
23	а также	2	8
24	своего рода	2	8
25	так и	10	8
26	о том	6	8
27	но в	8	8
28	в его	12	7
29	то же	13	7
30	не было	3	7
31	роль в	2	7
32	в себе	11	7
33	только в	6	7
34	не в	9	7
35	в своем	9	6
36	и как	2	6
37	к тому	2	5
38	как бы	7	5
39	в своей	3	5
40	то что	8	5
41	во всех	3	5
42	в процессе	2	5
43	а в	5	5
44	в себя	2	5
45	в их	3	5
46	в эпоху	7	5
47	и на	4	5
48	в данном	2	5
49	с его	2	4
50	что в	9	4
51	в них	7	4
52	и к	5	4
53	что он	3	4
54	уже не	2	4
55	для него	6	4
56	же время	9	4
57	одной из	2	4
58	отношение к	2	4
59	в особенности	2	4
60	в которых	2	4
61	потому что	5	4
62	и т.д	2	4
63	перед нами	2	3
64	того же	3	3
65	это не	6	3
66	в одной	2	3
67	что и	5	3
68	свою очередь	3	3
69	по своему	2	3
70	они и	2	3
71	в свою	3	3
72	с этим	2	3
73	картина мира	2	3
74	из них	3	3
75	таким образом	19	3
76	именно в	2	3
77	того что	2	3
78	тем что	3	3
79	точки зрения	5	3
80	в то	10	3
81	также и	2	3
82	и потому	3	3
83	в каждой	2	3
84	это прежде	2	3
85	мира в	4	3
86	и есть	3	2
87	одновременно и	2	2
88	никогда не	2	2
89	о котором	2	2
90	том числе	4	2
91	и во	2	2
92	и все	14	2
93	в одном	3	2
94	одного из	2	2
95	это в	3	2
96	к этому	5	2
97	в году	5	2
98	в литературе	2	2
99	в историческом	2	2
100	его как	2	2
101	в построении	2	2
102	в значительной	2	2
103	есть в	6	2
104	более или	2	2
105	на этом	5	2
106	числе и	2	2
107	своего времени	2	2
108	в сущности	4	2
109	значительной степени	2	2
110	хотя и	4	2
111	о нем	3	2
112	и др	2	2
113	например в	3	2
114	оно не	2	2
115	точка зрения	2	2
116	не есть	2	2
117	с ее	3	2
118	на том	2	2
119	дело не	2	2
120	в форме	3	2
121	или менее	2	2
122	целый ряд	4	2
123	уже в	5	2
124	человека в	2	2
125	то ли	2	2
126	как мы	11	2
127	свидетельствует о	2	2
128	и по	3	2
129	и его	9	2
130	или в	2	2
131	во всяком	2	2
132	мы имеем	2	2
133	и ее	2	2
134	в этой	13	2
135	так сказать	3	2
136	в виду	4	2
137	это было	2	2
