N	2gram	Vinokur_Ku_3	Vladivir
1	и в	23	30
2	то что	4	20
3	в этом	16	20
4	в том	22	18
5	и не	10	18
6	и с	3	14
7	что он	6	13
8	том что	11	12
9	что в	13	12
10	не только	17	12
11	в его	11	11
12	а в	5	11
13	как мы	5	11
14	сказать что	7	11
15	а также	4	10
16	не было	4	10
17	не в	5	9
18	кроме того	2	9
19	было бы	16	9
20	все же	5	9
21	потому что	12	9
22	не может	6	9
23	в то	3	9
24	связи с	6	8
25	в своем	4	8
26	вместе с	2	8
27	но и	3	8
28	что же	5	8
29	в связи	5	8
30	но в	2	8
31	не менее	12	7
32	точки зрения	23	7
33	ни в	3	7
34	может быть	14	7
35	между прочим	8	7
36	для нас	4	7
37	а не	11	7
38	как это	7	7
39	еще и	2	6
40	хотя и	5	6
41	прежде всего	9	6
42	и к	3	6
43	тем не	9	6
44	у нас	10	6
45	только в	6	6
46	во всяком	2	6
47	а именно	3	6
48	всякого рода	5	6
49	также и	5	6
50	о чем	2	6
51	и я	2	5
52	по себе	6	5
53	как и	5	5
54	в дальнейшем	2	5
55	то в	3	5
56	при этом	6	5
57	того же	4	5
58	тот же	6	5
59	в своей	4	5
60	как бы	5	5
61	в котором	2	5
62	так и	6	5
63	все это	2	5
64	и что	7	5
65	того что	11	5
66	в результате	3	5
67	все эти	7	5
68	так как	9	5
69	именно в	3	4
70	с этой	3	4
71	эти последние	2	4
72	я не	5	4
73	вовсе не	5	4
74	его в	2	4
75	можно сказать	2	4
76	в целом	4	4
77	и если	2	4
78	что это	3	4
79	конечно не	2	4
80	и о	4	4
81	в ней	3	4
82	он не	3	4
83	то это	3	4
84	не есть	3	4
85	в этих	2	4
86	время в	3	4
87	то же	6	4
88	на этот	2	4
89	так же	2	4
90	той же	3	4
91	по поводу	3	4
92	но это	5	4
93	мы должны	3	4
94	о том	6	4
95	здесь не	2	4
96	отношение к	3	4
97	для меня	2	4
98	учение о	2	3
99	уже в	3	3
100	французском языке	2	3
101	в отношении	3	3
102	хотя бы	9	3
103	из этих	5	3
104	это в	2	3
105	быть в	2	3
106	что и	6	3
107	по существу	3	3
108	и как	2	3
109	можно говорить	10	3
110	тем более	5	3
111	более или	2	3
112	но не	3	3
113	в данном	7	3
114	никак не	2	3
115	еще более	2	3
116	с точки	16	3
117	или менее	2	3
118	как в	4	3
119	в отличие	2	3
120	таким образом	9	3
121	те же	7	3
122	и вот	3	3
123	уже не	8	3
124	должно быть	7	3
125	отличие от	2	3
126	в таком	4	3
127	не столько	4	3
128	я в	3	3
129	не говоря	2	3
130	в россии	2	3
131	когда мы	3	3
132	в области	14	3
133	учения о	4	3
134	не то	2	3
135	в русском	2	2
136	здесь можно	5	2
137	с тем	6	2
138	и есть	5	2
139	очень много	2	2
140	однако в	2	2
141	себе представить	2	2
142	это не	3	2
143	раз и	2	2
144	тогда когда	4	2
145	только после	3	2
146	мы видели	3	2
147	же это	2	2
148	к тому	3	2
149	в общем	6	2
150	в защиту	2	2
151	только тогда	4	2
152	на этом	2	2
153	по своему	2	2
154	а то	2	2
155	после того	6	2
156	она не	3	2
157	в самом	13	2
158	в сущности	4	2
159	в статье	2	2
160	в частности	2	2
161	том чтобы	4	2
162	для того	12	2
163	в виду	8	2
164	а что	2	2
165	говоря уже	2	2
166	не имеет	3	2
167	данном случае	4	2
168	он пишет	2	2
169	в их	6	2
170	в печати	2	2
171	очень плохо	2	2
172	как к	2	2
173	того как	7	2
174	как я	2	2
175	от нас	2	2
176	но все	2	2
177	в двух	2	2
178	мы находим	3	2
179	в той	4	2
180	заключается в	4	2
181	того чтобы	11	2
182	что не	4	2
183	в чем	5	2
184	и нужно	2	2
185	также что	2	2
186	которое в	2	2
187	можно было	11	2
188	нас в	3	2
189	мысли и	2	2
190	и при	2	2
191	еще на	2	2
192	сам по	3	2
193	не о	2	2
194	а вот	2	2
195	к его	2	2
196	что если	2	2
197	что эти	2	2
198	как он	2	2
199	уже о	2	2
200	ничего не	6	2
201	я и	3	2
202	мы не	3	2
