N	2gram	Bakhtin_KF_1	Russkaja
1	не может	27	22
2	и не	26	19
3	в том	6	17
4	в этом	14	17
5	и в	24	14
6	то что	7	13
7	то же	5	11
8	точки зрения	12	11
9	же время	2	10
10	но и	9	10
11	в то	3	10
12	том что	4	9
13	не только	5	9
14	в себе	21	9
15	с точки	9	9
16	может быть	45	9
17	прежде всего	2	8
18	того чтобы	2	8
19	ни к	2	7
20	отнюдь не	6	7
21	не будет	2	7
22	самом деле	3	7
23	в данном	2	7
24	о том	3	7
25	если бы	8	6
26	на самом	3	6
27	что он	2	6
28	с тем	2	6
29	для него	8	6
30	к которой	2	6
31	для того	3	6
32	все это	10	6
33	в своем	16	6
34	и для	9	6
35	в своих	3	6
36	себя и	2	5
37	жизни в	5	5
38	хотя бы	4	5
39	вопрос о	2	5
40	и на	3	5
41	или иной	2	5
42	при этом	4	5
43	лишь при	3	5
44	было бы	8	5
45	конечно не	7	5
46	в своей	10	5
47	он не	6	5
48	никогда не	5	5
49	в нем	28	5
50	во всех	11	5
51	и только	6	5
52	из которых	2	5
53	а в	4	5
54	потому что	2	5
55	только в	16	5
56	между тем	4	5
57	а лишь	3	4
58	но не	12	4
59	что в	4	4
60	то ни	2	4
61	тогда когда	3	4
62	в мире	6	4
63	как и	5	4
64	ли это	2	4
65	как бы	9	4
66	себе и	3	4
67	все же	5	4
68	себя в	8	4
69	бы то	2	4
70	жизни и	8	4
71	в корне	2	4
72	со стороны	7	4
73	от того	3	4
74	в их	8	4
75	не в	12	4
76	отказаться от	2	4
77	и то	2	4
78	в этой	2	4
79	во всем	7	4
80	в его	40	4
81	которой он	2	4
82	и т.д	2	4
83	его в	5	4
84	может не	2	3
85	что это	3	3
86	именно в	5	3
87	а следовательно	3	3
88	при условии	2	3
89	всех этих	3	3
90	и как	2	3
91	в другом	3	3
92	лишь в	8	3
93	должно быть	6	3
94	в качестве	2	3
95	еще не	4	3
96	ни одна	2	3
97	той или	3	3
98	и потому	2	3
99	и этот	3	3
100	для этого	2	3
101	что и	7	3
102	не есть	20	3
103	не было	8	3
104	сводится к	2	3
105	того что	3	3
106	тем что	3	3
107	в виде	2	3
108	говорить о	2	3
109	и ни	3	3
110	в сознании	2	3
111	место в	5	2
112	а с	2	2
113	нисколько не	4	2
114	должна быть	4	2
115	и есть	9	2
116	были бы	2	2
117	его и	2	2
118	что только	2	2
119	к себе	2	2
120	ясно что	3	2
121	культуры и	5	2
122	или иного	3	2
123	по себе	2	2
124	не должен	3	2
125	во главе	2	2
126	будет ли	2	2
127	ни в	12	2
128	уже не	7	2
129	деятельности и	2	2
130	это есть	2	2
131	но это	6	2
132	от него	3	2
133	именно на	2	2
134	совершенно не	6	2
135	но для	2	2
136	в ней	3	2
137	к чему	3	2
138	от своей	5	2
139	в котором	24	2
140	отношении к	2	2
141	для нее	7	2
142	для себя	5	2
143	и тем	3	2
144	для нас	4	2
145	быть и	3	2
146	тому что	2	2
147	по отношению	26	2
148	это только	2	2
149	если не	2	2
150	все эти	10	2
151	тем самым	4	2
152	а не	17	2
153	в единое	2	2
154	к нему	12	2
155	людей и	2	2
156	не о	2	2
157	того или	3	2
158	значило бы	2	2
159	только с	3	2
160	с ним	5	2
161	в области	2	2
162	себя как	2	2
163	но в	5	2
