N	2gram	Bakhtin_Pr_3	UchenyiS
1	и в	34	14
2	а не	9	10
3	не только	10	10
4	и не	29	8
5	прежде всего	15	8
6	то что	11	7
7	в этом	16	7
8	не может	19	7
9	может быть	19	6
10	хотя бы	5	5
11	все это	16	5
12	и только	2	5
13	то же	14	5
14	но и	12	4
15	конечно не	2	4
16	с другой	4	4
17	что такое	2	4
18	как такового	3	3
19	но в	16	3
20	как и	18	3
21	и то	3	3
22	все же	7	3
23	в своей	3	3
24	бы то	4	3
25	для этого	3	3
26	то ни	4	3
27	же время	12	3
28	другой стороны	3	3
29	для него	13	3
30	это не	5	3
31	в то	12	3
32	не как	3	3
33	было бы	2	3
34	не о	4	3
35	ни было	4	3
36	смысле этого	2	2
37	том что	3	2
38	но не	4	2
39	в том	3	2
40	с его	6	2
41	крайней мере	3	2
42	не в	9	2
43	всех этих	2	2
44	и для	8	2
45	но это	4	2
46	мы и	2	2
47	бы и	4	2
48	должна была	2	2
49	этом смысле	4	2
50	о чем	2	2
51	если бы	4	2
52	это уже	2	2
53	только в	6	2
54	и с	15	2
55	тем что	4	2
56	его и	3	2
57	даже и	4	2
58	что он	23	2
59	и у	5	2
60	в себе	6	2
61	как раз	4	2
62	в конце	5	2
63	что все	4	2
64	если не	3	2
65	в самом	8	2
66	в сторону	2	2
67	по себе	3	2
68	сводится к	3	2
69	надо было	2	2
70	ничего не	4	2
71	самом деле	13	2
72	а как	2	2
73	по крайней	3	2
74	а между	3	2
75	что и	5	2
76	в его	22	2
77	между тем	3	2
78	конце концов	3	2
79	таким образом	5	2
80	же не	2	2
81	это было	3	2
