N	2gram	Bakhtin_Pr_2	Poddanst
1	не только	16	17
2	и в	45	14
3	и не	42	12
4	в области	2	11
5	в этом	20	10
6	то же	5	9
7	в том	8	9
8	но в	6	9
9	хотя бы	5	8
10	в пределах	4	8
11	же время	3	7
12	в то	5	7
13	только в	9	7
14	но и	15	6
15	в ней	7	6
16	в смысле	2	6
17	было бы	4	6
18	не в	8	5
19	и пр	2	5
20	и о	2	5
21	может быть	18	5
22	в котором	7	4
23	то что	5	4
24	что в	6	4
25	если бы	2	4
26	в своем	5	4
27	не может	24	4
28	по себе	8	4
29	и к	2	4
30	а в	3	4
31	том что	7	4
32	мы должны	4	4
33	в русской	2	4
34	как бы	15	4
35	и потому	6	4
36	в нем	20	3
37	это не	3	3
38	прежде всего	11	3
39	тем самым	2	3
40	с точки	9	3
41	и как	2	3
42	с ними	4	3
43	но не	6	3
44	могут быть	4	3
45	точки зрения	19	3
46	в себе	5	3
47	тот же	2	3
48	потому что	8	3
49	хотя и	2	3
50	я и	3	3
51	в сфере	2	2
52	не менее	2	2
53	том числе	2	2
54	в мире	3	2
55	начала и	2	2
56	для них	3	2
57	именно в	3	2
58	во всех	4	2
59	со стороны	4	2
60	в них	4	2
61	все это	5	2
62	как раз	6	2
63	в xix	2	2
64	отношения к	2	2
65	в жизни	3	2
66	и других	3	2
67	которую мы	2	2
68	и вот	2	2
69	а не	10	2
70	того что	3	2
71	точек зрения	3	2
72	должно быть	4	2
73	в ее	3	2
74	как на	2	2
75	есть в	8	2
76	одна из	3	2
77	по сравнению	2	2
78	не было	2	2
79	в начале	2	2
80	из них	9	2
81	xix веке	2	2
82	например в	2	2
83	не о	2	2
84	в его	22	2
85	русский народ	2	2
86	и с	7	2
