N	2gram	Vygotskiy__4	Vladivir
1	и в	20	31
2	не только	15	24
3	но и	9	19
4	то что	15	18
5	и не	8	17
6	у него	2	15
7	том что	35	14
8	что в	19	14
9	в этом	24	14
10	и с	4	14
11	что он	6	12
12	в его	11	12
13	но в	3	12
14	в том	42	11
15	потому что	12	11
16	о том	5	11
17	так что	3	10
18	и то	10	10
19	также и	2	10
20	никогда не	5	9
21	как мы	13	9
22	а в	2	9
23	только в	10	9
24	так как	10	8
25	уже в	6	7
26	для него	2	7
27	и его	5	7
28	как это	9	7
29	сказать что	6	7
30	мы уже	5	7
31	к этому	4	6
32	и к	5	6
33	в качестве	21	6
34	того же	9	6
35	может быть	12	6
36	свое время	2	6
37	так и	5	6
38	не может	6	6
39	то же	16	6
40	и что	8	6
41	на этот	3	6
42	а с	2	5
43	на то	5	5
44	не в	4	5
45	но как	2	5
46	и от	3	5
47	в свое	2	5
48	а также	2	5
49	что и	9	5
50	когда он	3	5
51	в своем	4	4
52	этом смысле	8	4
53	в нем	2	4
54	для нас	4	4
55	в себе	10	4
56	как и	9	4
57	и как	9	4
58	мы и	2	4
59	в этой	3	4
60	по своей	6	4
61	такого рода	6	4
62	никак не	2	4
63	один из	3	4
64	в нашем	4	4
65	себя в	3	4
66	в своей	7	4
67	в истории	10	4
68	мысли и	2	4
69	говорит что	3	4
70	и у	2	4
71	во всем	3	4
72	как он	4	4
73	к нему	2	4
74	в которой	3	4
75	под влиянием	2	3
76	только к	3	3
77	к тому	6	3
78	в виде	3	3
79	отнюдь не	3	3
80	с другой	12	3
81	как в	5	3
82	но не	3	3
83	что они	14	3
84	по своему	4	3
85	но что	3	3
86	тот же	9	3
87	все же	5	3
88	на его	3	3
89	в целом	11	3
90	вместе с	8	3
91	только на	2	3
92	другой стороны	9	3
93	в отношении	10	3
94	в связи	3	3
95	и речи	2	3
96	таким образом	25	3
97	все эти	5	3
98	на одной	2	3
99	если не	2	3
100	здесь мы	2	3
101	и он	2	3
102	едва ли	2	3
103	что этот	2	3
104	и на	6	3
105	и здесь	2	3
106	в начале	2	3
107	здесь не	2	3
108	место в	2	2
109	тем что	7	2
110	нисколько не	2	2
111	мы будем	2	2
112	с тем	6	2
113	уже и	2	2
114	первый план	4	2
115	не менее	3	2
116	в частности	5	2
117	по существу	3	2
118	указывает на	2	2
119	что все	3	2
120	то обстоятельство	3	2
121	на все	3	2
122	ясно что	2	2
123	его к	4	2
124	на первый	4	2
125	одной из	3	2
126	ни в	3	2
127	тому же	6	2
128	на этом	3	2
129	это мы	2	2
130	что с	4	2
131	и тот	7	2
132	еще не	2	2
133	при этом	12	2
134	того что	10	2
135	было бы	8	2
136	совершенно не	3	2
137	что на	2	2
138	в самом	6	2
139	том чтобы	2	2
140	одним из	2	2
141	которую он	2	2
142	всяком случае	3	2
143	виде в	2	2
144	с которым	2	2
145	даже в	2	2
146	из них	4	2
147	то как	2	2
148	толстой и	2	2
149	не по	2	2
150	со стороны	3	2
151	только что	4	2
152	и для	4	2
153	и других	3	2
154	у одного	2	2
155	этой области	2	2
156	с первого	3	2
157	он говорит	2	2
158	тем самым	7	2
159	того чтобы	7	2
160	для того	5	2
161	что мы	7	2
162	что такое	5	2
163	той же	6	2
164	в результате	8	2
165	во всяком	4	2
166	точки зрения	24	2
167	в каком	2	2
168	обстоятельство что	3	2
169	из этих	2	2
170	мы должны	11	2
171	один и	7	2
172	и это	2	2
173	в чем	3	2
