N	2gram	Medvedev_U_1	Russkaja
1	не может	7	22
2	и не	8	19
3	в том	2	17
4	в этом	7	17
5	и в	14	14
6	то что	7	13
7	таким образом	2	11
8	то же	5	11
9	же время	3	10
10	но и	4	10
11	в то	3	10
12	том что	2	9
13	не только	10	9
14	в себе	2	9
15	может быть	6	9
16	прежде всего	8	8
17	самом деле	2	7
18	и с	2	7
19	если бы	2	6
20	что он	2	6
21	для него	3	6
22	для всех	2	6
23	все это	5	6
24	и для	2	6
25	в россии	4	6
26	хотя бы	5	5
27	до сих	2	5
28	было бы	3	5
29	конечно не	4	5
30	в своей	3	5
31	сих пор	2	5
32	а между	2	5
33	и только	5	5
34	по существу	2	5
35	только в	2	5
36	между тем	2	5
37	но не	2	4
38	не могут	2	4
39	то ни	3	4
40	как и	3	4
41	все же	3	4
42	бы то	3	4
43	в их	4	4
44	не в	2	4
45	и то	3	4
46	в этой	4	4
47	в его	2	4
48	и т.д	3	4
49	в конце	2	3
50	что все	2	3
51	всех этих	2	3
52	в самом	2	3
53	для этого	3	3
54	что и	2	3
55	не есть	2	3
56	все они	2	3
57	вряд ли	3	3
58	только к	3	3
59	сводится к	2	3
60	тем что	2	3
61	конце концов	2	3
62	должна быть	2	2
63	в частности	3	2
64	но даже	2	2
65	его и	2	2
66	по себе	2	2
67	но это	2	2
68	и является	2	2
69	в некоторых	2	2
70	если не	2	2
71	а не	10	2
72	что такое	4	2
73	не о	3	2
74	даже и	2	2
75	на эту	2	2
76	ни от	2	2
77	в области	3	2
78	но в	3	2
