N	2gram	Tiupa_Lite_2	PoTuStor
1	может быть	17	17
2	и в	19	16
3	прежде всего	4	9
4	в этом	9	9
5	и только	2	9
6	и его	3	8
7	и с	3	8
8	точки зрения	4	8
9	не может	9	8
10	не только	8	7
11	и к	2	6
12	с точки	3	6
13	для него	4	6
14	при этом	6	6
15	я и	4	6
16	еще не	2	5
17	как бы	2	5
18	в него	2	5
19	в нем	3	4
20	отнюдь не	4	4
21	но и	10	4
22	так и	7	4
23	хотя бы	2	4
24	мысли и	2	4
25	так как	3	4
26	и не	11	4
27	а потому	2	4
28	и наконец	2	4
29	и даже	8	4
30	и на	6	4
31	в этой	3	4
32	художественного творчества	2	4
33	с ее	2	4
34	все что	2	4
35	для всех	5	4
36	но в	2	4
37	в его	4	4
38	что в	4	3
39	жизни и	4	3
40	во всех	3	3
41	и др	3	3
42	могут быть	2	3
43	вместе с	5	3
44	в одном	2	3
45	крайней мере	2	3
46	в том	10	3
47	а в	3	3
48	том что	7	3
49	и как	3	3
50	то что	7	3
51	в основе	2	3
52	на этом	2	3
53	по крайней	2	3
54	едва ли	4	3
55	как это	2	3
56	в области	4	3
57	в конечном	5	3
58	не менее	6	2
59	один из	4	2
60	что и	2	2
61	ни было	2	2
62	же как	2	2
63	конечном счете	5	2
64	в частности	4	2
65	никогда не	3	2
66	что не	2	2
67	для этого	2	2
68	в них	2	2
69	того же	4	2
70	с этой	2	2
71	в жизни	2	2
72	в свое	2	2
73	то же	12	2
74	быть может	3	2
75	не знает	2	2
76	и других	4	2
77	что он	3	2
78	мы не	4	2
79	и т.п	10	2
80	на два	2	2
81	у него	2	2
82	и для	3	2
83	для нас	2	2
84	как и	10	2
85	но это	3	2
86	путь к	2	2
87	он не	5	2
88	при всей	2	2
89	в начале	3	2
90	ту же	2	2
91	было бы	2	2
92	о том	2	2
93	из тех	2	2
94	но как	2	2
95	с ним	2	2
96	себя и	2	2
