N	2gram	Bakhtin_Pr_1	Literetu
1	не только	9	24
2	при этом	5	19
3	но и	9	17
4	а не	5	16
5	в том	8	16
6	в частности	2	15
7	том что	3	14
8	может быть	26	13
9	и не	42	12
10	в этом	15	12
11	прежде всего	13	11
12	в своем	5	11
13	то что	8	10
14	не в	7	8
15	в целом	3	8
16	и в	38	8
17	только в	13	8
18	как это	2	8
19	не менее	4	7
20	я не	2	7
21	в его	43	7
22	как бы	22	7
23	в себе	4	7
24	как и	7	6
25	связи с	2	6
26	себя в	2	6
27	того что	2	6
28	точки зрения	8	6
29	то есть	46	6
30	эстетического объекта	37	6
31	с его	2	5
32	что он	2	5
33	же время	3	5
34	в конечном	4	5
35	искусства и	3	5
36	как в	4	5
37	не может	27	5
38	то же	5	5
39	в отличие	5	5
40	тем самым	4	5
41	в данном	4	5
42	в то	4	5
43	отличие от	5	5
44	перестает быть	4	4
45	конечном счете	4	4
46	столь же	2	4
47	это не	5	4
48	эстетической деятельности	2	4
49	с миром	4	4
50	но не	12	4
51	еще не	7	4
52	и тем	3	4
53	все же	6	4
54	в художественном	20	4
55	в своей	7	4
56	данном случае	4	4
57	так и	5	4
58	никогда не	5	4
59	в связи	2	4
60	лишь в	2	4
61	и его	16	4
62	в своих	2	4
63	мир в	2	4
64	в основе	5	3
65	не было	2	3
66	что в	7	3
67	и есть	2	3
68	с другой	7	3
69	да и	3	3
70	одна из	2	3
71	художественного творчества	12	3
72	в культуре	2	3
73	в пределах	6	3
74	и прежде	5	3
75	например в	3	3
76	в самом	7	3
77	несмотря на	3	3
78	том же	2	3
79	и др	8	3
80	в их	10	3
81	приводит к	3	3
82	по отношению	21	3
83	бы не	2	3
84	а в	6	3
85	таким образом	10	3
86	от эстетического	2	3
87	и даже	3	3
88	эстетический объект	37	3
89	нуждается в	2	3
90	к себе	2	3
91	но в	4	3
92	также и	3	3
93	далеко не	5	3
94	его в	9	3
95	дело в	2	3
96	в области	11	3
97	в виду	4	3
98	в лирике	2	3
99	на этом	2	2
100	а как	3	2
101	должна быть	4	2
102	искусства как	2	2
103	отнюдь не	19	2
104	в равной	2	2
105	все они	5	2
106	раз и	2	2
107	в себя	2	2
108	для понимания	2	2
109	в мире	3	2
110	а только	2	2
111	тем не	3	2
112	в другом	2	2
113	в нашей	2	2
114	или иной	2	2
115	объекта и	7	2
116	одной стороны	3	2
117	было бы	8	2
118	по поводу	2	2
119	мы в	3	2
120	за пределы	12	2
121	в искусстве	12	2
122	с действительностью	3	2
123	относится к	4	2
124	так называемый	2	2
125	на почве	3	2
126	для нее	8	2
127	не является	3	2
128	произведение в	6	2
129	должен быть	2	2
130	в нем	15	2
131	не есть	6	2
132	отношению к	19	2
133	не к	6	2
134	не остается	2	2
135	художественное произведение	8	2
136	не на	5	2
137	и только	4	2
138	этом отношении	2	2
139	с одной	3	2
140	все эти	5	2
141	самом деле	6	2
142	что не	4	2
143	хотя бы	4	2
144	с точки	6	2
145	в слове	3	2
146	художественного впечатления	2	2
147	можно было	4	2
148	объект и	4	2
149	между тем	7	2
150	тем что	2	2
151	могут быть	5	2
152	самим собою	2	2
153	о том	4	2
154	в россии	2	2
155	направленной на	4	2
