N	2gram	Berdyaev_M_2	Literetu
1	и не	18	22
2	и в	46	16
3	в мире	7	16
4	не только	18	14
5	но и	15	14
6	в этом	20	14
7	а не	13	12
8	то что	5	12
9	может быть	21	12
10	в том	3	12
11	не в	9	10
12	такого рода	2	10
13	я и	2	10
14	то же	5	9
15	так и	4	9
16	того что	6	9
17	в жизни	4	8
18	том что	4	8
19	не может	15	8
20	к себе	2	8
21	в этой	7	8
22	как бы	8	8
23	в своей	5	7
24	себя в	4	7
25	точки зрения	2	7
26	только в	3	7
27	с его	4	6
28	к тому	5	6
29	в его	5	6
30	и его	5	6
31	в себе	10	6
32	о том	3	6
33	это не	5	5
34	что он	7	5
35	как и	13	5
36	лишь в	2	5
37	вместе с	2	5
38	как в	7	5
39	а в	2	5
40	в основе	2	5
41	место в	2	4
42	никогда не	18	4
43	как у	2	4
44	до конца	4	4
45	и если	2	4
46	и для	7	4
47	хотя и	2	4
48	отношению к	2	4
49	по отношению	2	4
50	жизни в	3	4
51	другого в	2	4
52	должно быть	2	4
53	как будто	2	4
54	все время	2	3
55	личности в	2	3
56	прежде всего	12	3
57	то в	2	3
58	и к	7	3
59	на его	2	3
60	в самом	5	3
61	еще в	2	3
62	жизни и	6	3
63	бы и	5	3
64	человеческого духа	5	3
65	уже не	4	3
66	на смену	3	3
67	той же	3	3
68	тому как	2	3
69	не случайно	2	3
70	потому что	12	3
71	по своей	3	3
72	отношения к	2	3
73	но в	10	3
74	между тем	2	3
75	а лишь	2	2
76	не надо	2	2
77	жизни не	2	2
78	сознания и	2	2
79	что в	4	2
80	если бы	3	2
81	быть может	2	2
82	что у	4	2
83	оно не	2	2
84	в конце	5	2
85	я не	5	2
86	не всегда	2	2
87	вопрос о	6	2
88	по себе	2	2
89	или иной	2	2
90	в нем	22	2
91	у нас	11	2
92	связи с	2	2
93	в свою	4	2
94	для него	18	2
95	и перед	3	2
96	что не	2	2
97	жизни а	2	2
98	во всех	2	2
99	не могу	6	2
100	себя и	3	2
101	отношением к	2	2
102	один из	5	2
103	что и	4	2
104	отношение к	8	2
105	и тогда	3	2
106	так же	6	2
107	но с	2	2
108	человека в	14	2
109	и вот	5	2
110	не означает	2	2
111	свободы и	4	2
112	того чтобы	4	2
113	для того	5	2
114	в своих	3	2
115	и на	3	2
116	и с	3	2
117	тем что	3	2
118	он в	3	2
119	подобно тому	2	2
120	не знает	9	2
121	его в	3	2
122	и потому	7	2
123	в глубине	3	2
124	ее в	2	2
