N	2gram	Vinokur_St_3	Stilisti
1	и в	25	42
2	как бы	6	27
3	не только	12	27
4	прежде всего	10	22
5	но и	9	15
6	то же	5	15
7	и не	10	14
8	может быть	19	12
9	не может	7	12
10	точки зрения	7	11
11	как и	4	11
12	что мы	3	10
13	как мы	2	10
14	в этом	24	10
15	в то	7	9
16	то что	12	9
17	для того	2	9
18	мы не	2	9
19	все же	4	8
20	в ней	4	8
21	таким образом	10	8
22	с тем	4	8
23	и это	5	8
24	никогда не	2	7
25	же время	3	7
26	и тем	4	7
27	и на	6	7
28	потому что	5	7
29	так как	3	7
30	с его	3	7
31	было бы	7	7
32	а не	5	7
33	и его	3	7
34	только в	6	7
35	в которой	4	7
36	ничего не	4	7
37	точку зрения	2	6
38	или иной	2	6
39	не в	6	6
40	в этой	14	6
41	в свою	2	6
42	на его	4	6
43	в форме	2	6
44	в конце	6	6
45	во всех	2	6
46	так и	5	6
47	в области	6	6
48	уже в	3	5
49	независимо от	5	5
50	тому что	3	5
51	не является	3	5
52	а в	6	5
53	и с	4	5
54	и наконец	3	5
55	в его	12	5
56	вместе с	2	5
57	с точки	4	5
58	той же	2	5
59	у которого	3	5
60	самого начала	2	4
61	все время	2	4
62	что это	16	4
63	в каждом	4	4
64	не просто	2	4
65	того времени	3	4
66	что именно	2	4
67	можно сказать	4	4
68	к тому	2	4
69	с самого	2	4
70	но все	2	4
71	в качестве	4	4
72	в самом	2	4
73	точка зрения	4	4
74	один из	2	4
75	в словах	3	4
76	все это	8	4
77	того что	5	4
78	о том	8	4
79	но в	5	4
80	если бы	4	4
81	и к	4	4
82	у нас	4	4
83	мы видим	4	4
84	всего в	4	4
85	а с	2	4
86	уже не	3	4
87	самом деле	2	4
88	и пр	13	4
89	то есть	2	4
90	на это	2	4
91	так сказать	2	4
92	что у	2	3
93	это не	7	3
94	не мог	2	3
95	в котором	5	3
96	в целом	4	3
97	от того	2	3
98	лишь в	4	3
99	не так	3	3
100	сказать что	4	3
101	и здесь	3	3
102	в начале	4	3
103	ни на	2	3
104	в виду	2	3
105	то он	2	3
106	этого слова	2	3
107	об этом	5	3
108	том что	15	3
109	еще не	2	3
110	нет и	2	3
111	слова как	2	3
112	что такое	7	3
113	и для	4	3
114	конце концов	3	3
115	связи с	3	3
116	ответ на	5	3
117	место в	6	2
118	мы имели	2	2
119	в какой	3	2
120	в том	20	2
121	нас не	2	2
122	но это	4	2
123	времени и	2	2
124	находит свое	3	2
125	для него	3	2
126	до конца	3	2
127	несмотря на	3	2
128	на эти	3	2
129	общества в	2	2
130	в этих	11	2
131	отношение к	4	2
132	как например	8	2
133	в связи	3	2
134	в отношении	2	2
135	не было	4	2
136	этом отношении	4	2
137	все эти	3	2
138	его не	2	2
139	в которых	2	2
140	в своих	8	2
141	что эти	4	2
142	и ни	2	2
143	мы имеем	5	2
144	к которому	3	2
145	я и	3	2
146	в жизни	4	2
147	это слово	3	2
148	с этим	7	2
149	к этому	3	2
150	что он	19	2
151	только тогда	2	2
152	должна была	4	2
153	но не	2	2
154	связано с	5	2
155	одной из	2	2
156	это выражение	2	2
157	гораздо более	2	2
158	в своей	4	2
159	сих пор	2	2
160	связь с	4	2
161	как в	6	2
162	выражения как	2	2
163	из которых	4	2
164	к нему	4	2
165	или в	2	2
166	в языке	8	2
167	тем что	19	2
168	в каком	4	2
169	которые в	2	2
170	заметить что	2	2
