N	2gram	Potebnia_M_4	Literetu
1	а не	12	20
2	и в	23	19
3	может быть	26	17
4	то же	14	12
5	и не	18	11
6	в том	23	10
7	как и	14	10
8	но и	11	10
9	состоит в	2	9
10	же время	3	9
11	не может	11	9
12	тогда как	4	9
13	в мире	2	9
14	в этом	23	9
15	в то	4	9
16	с другой	2	8
17	не только	10	8
18	и даже	2	8
19	том что	12	7
20	то что	29	7
21	так и	6	7
22	я в	2	7
23	слова и	5	7
24	не менее	5	6
25	в себе	14	6
26	при этом	15	6
27	и на	3	6
28	столь же	2	5
29	я не	2	5
30	у нас	2	5
31	он не	2	5
32	вместе с	6	5
33	так в	3	5
34	того что	14	5
35	то есть	34	5
36	что в	17	4
37	не в	11	4
38	но тем	2	4
39	для него	5	4
40	в ней	2	4
41	в его	5	4
42	даже в	2	4
43	один из	2	4
44	и других	3	4
45	человека в	2	4
46	так что	5	4
47	мы не	8	4
48	по отношению	10	4
49	тем что	10	4
50	точки зрения	4	4
51	в искусстве	3	4
52	в области	2	4
53	никогда не	3	3
54	быть может	4	3
55	в поэзии	3	3
56	что он	4	3
57	в нем	7	3
58	и как	2	3
59	но это	3	3
60	в сущности	2	3
61	и др	2	3
62	не с	2	3
63	отношению к	8	3
64	данном случае	2	3
65	со стороны	3	3
66	а именно	4	3
67	то и	4	3
68	и для	2	3
69	так как	14	3
70	тем самым	4	3
71	с точки	3	3
72	а в	5	3
73	и его	2	3
74	в глазах	2	3
75	и то	5	3
76	и с	4	3
77	в данном	4	3
78	уже в	5	2
79	не было	12	2
80	с тем	7	2
81	в нашем	2	2
82	в них	3	2
83	по крайней	5	2
84	в виду	3	2
85	в одном	4	2
86	в каждом	3	2
87	мы сами	3	2
88	вовсе не	7	2
89	слов но	2	2
90	и к	6	2
91	крайней мере	5	2
92	для нас	14	2
93	этом случае	5	2
94	в ее	2	2
95	тем не	4	2
96	очевидно что	7	2
97	все что	2	2
98	и без	2	2
99	тот же	2	2
100	еще не	3	2
101	было бы	8	2
102	не так	2	2
103	не могу	2	2
104	нам представляется	2	2
105	как бы	5	2
106	не вполне	2	2
107	что и	7	2
108	и т	7	2
109	но уже	3	2
110	могут быть	7	2
111	в истории	4	2
112	и до	3	2
113	мысли и	7	2
114	я вижу	2	2
115	поэзия как	3	2
116	т п	4	2
117	и только	3	2
118	быть не	2	2
119	той же	3	2
120	все равно	3	2
121	уже не	3	2
122	и что	7	2
123	для того	6	2
124	что не	6	2
125	из которых	2	2
126	хотя бы	4	2
127	в сравнении	4	2
128	друг друга	2	2
129	в своих	2	2
130	то в	3	2
131	потому что	33	2
132	даже и	3	2
133	подобно тому	2	2
134	в первый	2	2
135	что я	11	2
136	ту же	3	2
137	о том	8	2
138	из тех	2	2
139	тому как	2	2
140	а если	2	2
141	с ним	5	2
142	поэзии и	7	2
143	но в	8	2
144	одном из	2	2
