N	2gram	Tiupa_Hudo_1	Mirosoze
1	может быть	14	30
2	не только	16	29
3	и в	19	28
4	не может	7	28
5	но и	10	25
6	а не	9	25
7	он не	4	24
8	в этом	11	20
9	не в	7	16
10	потому что	3	16
11	в своей	5	15
12	никогда не	2	14
13	в нем	5	13
14	и это	2	12
15	для него	4	11
16	в самом	5	11
17	и не	15	11
18	что в	6	10
19	в своем	2	10
20	в мире	21	10
21	прежде всего	4	10
22	что он	3	10
23	и потому	2	10
24	но он	3	9
25	в его	9	9
26	и его	12	9
27	но не	11	8
28	в самой	2	7
29	того что	4	7
30	но в	7	7
31	к нему	3	7
32	в себе	9	7
33	в том	18	6
34	в этой	2	6
35	все это	2	6
36	лишь в	4	6
37	и на	2	6
38	только в	5	6
39	в которой	2	6
40	это не	2	5
41	мира и	2	5
42	как и	2	5
43	то что	4	5
44	в этих	3	4
45	не знает	3	4
46	мог бы	3	4
47	отношение к	5	4
48	в их	5	4
49	отношения к	2	4
50	и по	2	4
51	а в	12	4
52	точки зрения	10	4
53	в них	2	4
54	не как	2	4
55	один из	2	4
56	за пределы	2	4
57	что и	2	4
58	уже не	4	4
59	себя и	2	3
60	о себе	2	3
61	к тому	4	3
62	в момент	2	3
63	его в	2	3
64	то есть	18	3
65	с его	6	3
66	одно из	2	3
67	он должен	3	3
68	в жизни	2	3
69	в ее	5	3
70	том что	8	3
71	себя в	7	3
72	место в	4	2
73	по своему	2	2
74	с их	2	2
75	с самим	2	2
76	человека к	3	2
77	в свою	3	2
78	о чем	2	2
79	для того	2	2
80	в виду	5	2
81	могут быть	4	2
82	отличается от	2	2
83	по отношению	9	2
84	все эти	2	2
85	и что	3	2
86	сказать что	4	2
87	по своей	7	2
88	как бы	9	2
89	о том	2	2
90	человека с	3	2
91	с ним	2	2
92	в основе	4	2
93	если бы	3	2
94	жизни в	2	2
95	личности в	4	2
96	отношению к	9	2
97	в то	6	2
98	никто не	2	2
99	и к	3	2
100	как в	2	2
101	приводит к	5	2
102	человеческой жизни	2	2
103	входит в	4	2
104	в той	3	2
105	того чтобы	2	2
106	и как	3	2
107	и для	2	2
108	в каком	2	2
109	не принадлежит	2	2
110	отношении к	2	2
111	не все	2	2
