N	2gram	Voloshinov_1	Dialekti
1	не есть	2	47
2	и не	10	30
3	может быть	14	20
4	и в	12	19
5	не только	4	19
6	по себе	3	18
7	а не	5	16
8	в себе	3	15
9	то что	5	14
10	в том	6	14
11	как бы	13	14
12	так как	9	14
13	но и	3	12
14	то же	5	12
15	точки зрения	14	12
16	и все	2	12
17	ни в	3	10
18	как и	5	10
19	в нем	6	10
20	так и	4	10
21	том что	5	10
22	это не	2	10
23	сказать что	7	10
24	никогда не	5	9
25	не может	16	9
26	прежде всего	8	8
27	она не	2	8
28	с точки	2	8
29	не в	4	8
30	в этом	4	8
31	в своей	3	8
32	в душе	2	7
33	как это	2	7
34	но это	2	7
35	но что	2	7
36	и к	4	7
37	что в	2	7
38	и притом	2	7
39	и то	2	7
40	в поэзии	3	7
41	и та	2	6
42	что не	4	6
43	да и	3	6
44	отнюдь не	5	6
45	в то	2	6
46	но не	2	6
47	конечно не	3	6
48	того что	3	6
49	жизни и	4	6
50	и вообще	3	6
51	тогда когда	2	6
52	должна быть	5	5
53	с другой	4	5
54	можно сказать	5	5
55	и пр	3	5
56	в самом	4	5
57	и следовательно	5	5
58	и потому	2	5
59	что и	2	5
60	и что	2	5
61	и его	13	5
62	только в	6	5
63	о том	3	5
64	и с	3	5
65	в виду	5	5
66	уже в	2	4
67	независимо от	2	4
68	в своем	2	4
69	ясно что	3	4
70	все же	4	4
71	при этом	6	4
72	одно и	2	4
73	еще не	3	4
74	к нему	4	4
75	за пределы	4	4
76	он не	2	4
77	хотя бы	5	4
78	быть и	3	4
79	от того	4	4
80	все это	3	4
81	другой стороны	2	4
82	таким образом	12	4
83	самом деле	3	4
84	и по	3	4
85	могут быть	2	4
86	в каком	3	4
87	с ним	3	4
88	как только	2	3
89	не менее	3	3
90	и уже	3	3
91	и более	3	3
92	все время	6	3
93	в этих	2	3
94	вещи и	2	3
95	была бы	2	3
96	уже не	4	3
97	кроме того	2	3
98	как же	2	3
99	мы имеем	2	3
100	это как	3	3
101	в данном	2	3
102	нуждается в	3	3
103	его в	4	3
104	в чем	2	3
105	ничего не	2	3
106	поэтическое произведение	5	2
107	быть только	2	2
108	зависит от	2	2
109	в зависимости	2	2
110	в какой	2	2
111	на самом	4	2
112	но мы	2	2
113	есть уже	2	2
114	тем не	3	2
115	но все	2	2
116	зависимости от	4	2
117	до сих	3	2
118	мы в	2	2
119	в ней	6	2
120	сих пор	3	2
121	на все	2	2
122	как не	2	2
123	в некоторых	3	2
124	на него	2	2
125	данном случае	2	2
126	так же	3	2
127	смысл и	2	2
128	с одной	2	2
129	как в	5	2
130	и совершенно	2	2
131	между тем	3	2
132	или не	3	2
133	что мы	5	2
134	же самое	2	2
135	все эти	3	2
136	ни на	2	2
137	но в	5	2
138	в жизни	5	2
139	вместе с	2	2
