N	3gram	Vygotskiy__5	Problema
1	с точки зрения	9	11
2	в том что	11	8
3	это значит что	4	7
4	то же самое	4	6
5	с другой стороны	2	6
6	можно было бы	3	4
7	не только не	3	4
8	о том что	4	3
9	то и другое	2	3
10	в зависимости от	2	3
11	вместе с тем	2	3
12	и в частности	2	2
13	и тем более	2	2
14	в то время	4	2
15	уже по одному	4	2
16	ничего общего с	2	2
17	как показывает исследование	2	2
18	только в пределах	2	2
19	сама по себе	4	2
20	по одному этому	3	2
21	то время как	4	2
22	заключается в том	5	2
23	для того чтобы	14	2
24	потому что он	5	2
