N	2gram	Berdyaev_M_1	NovoeSre
1	новой истории	4	67
2	а не	25	17
3	не может	28	16
4	и в	28	16
5	во имя	10	15
6	и не	11	11
7	и есть	14	10
8	что в	10	9
9	истории и	2	9
10	жизни и	2	8
11	он не	24	8
12	в том	6	8
13	как и	5	7
14	это есть	3	7
15	в этом	20	7
16	к новому	2	7
17	может быть	30	7
18	с его	3	6
19	никогда не	14	6
20	в высшей	2	6
21	не знает	4	6
22	не в	16	6
23	высшей степени	2	6
24	лишь в	6	6
25	должен быть	2	5
26	в нем	13	5
27	все это	6	5
28	в жизни	3	5
29	истории в	2	5
30	xix века	4	5
31	и к	2	5
32	в ней	15	5
33	не только	29	5
34	то что	5	4
35	в них	4	4
36	это не	5	4
37	и все	10	4
38	не было	18	4
39	быть может	7	4
40	не имеет	3	4
41	и для	2	4
42	должно быть	3	4
43	есть лишь	9	4
44	потому что	16	4
45	по своему	2	4
46	прежде всего	10	4
47	и мы	2	4
48	о том	2	4
49	значит что	4	4
50	и потому	10	4
51	нашей эпохи	2	3
52	но и	25	3
53	не есть	9	3
54	не существует	2	3
55	должна быть	6	3
56	в своей	15	3
57	в истории	2	3
58	жизни в	2	3
59	в наше	2	3
60	вопрос о	2	3
61	человека и	14	3
62	к тому	3	3
63	в мире	10	3
64	в ее	3	3
65	бога и	10	3
66	в основе	2	3
67	с тем	9	3
68	духа и	4	3
69	смысле слова	4	3
70	конечно не	3	3
71	как в	2	3
72	она не	4	3
73	в россии	2	3
74	за пределы	4	3
75	сказать что	2	3
76	не значит	2	3
77	гуманистическое самоутверждение	2	3
78	на протяжении	2	2
79	себя в	3	2
80	всемирной истории	2	2
81	место в	2	2
82	свобода духа	4	2
83	у него	17	2
84	вместе с	6	2
85	возвращается к	2	2
86	божественной жизни	2	2
87	если нет	5	2
88	мысли и	2	2
89	и от	2	2
90	не знал	4	2
91	а в	4	2
92	духа в	3	2
93	все эти	2	2
94	этот мир	2	2
95	в духовной	2	2
96	из глубины	3	2
97	свободы и	10	2
98	уже не	4	2
99	нет и	5	2
100	того чтобы	2	2
101	на путях	3	2
102	хотя бы	3	2
103	духовной жизни	3	2
104	но не	8	2
105	это и	4	2
106	время как	2	2
107	том что	3	2
108	связана с	2	2
109	и с	3	2
110	и что	2	2
111	могут быть	2	2
112	с этим	3	2
113	и на	6	2
114	не к	4	2
115	свободы в	11	2
116	в себе	7	2
117	с их	2	2
118	в то	2	2
119	как будто	2	2
120	и это	12	2
121	в центре	2	2
122	к богу	3	2
123	когда мы	2	2
124	мира и	5	2
125	но в	7	2
