N	2gram	Berdyaev_M_1	KulturaY
1	потому что	16	25
2	и в	28	23
3	т е	2	22
4	не только	29	20
5	в том	6	19
6	в этом	20	18
7	и не	11	16
8	было бы	10	15
9	так как	3	15
10	может быть	30	15
11	точки зрения	4	14
12	если бы	2	12
13	у нас	5	12
14	в самом	11	12
15	все эти	2	12
16	том что	3	11
17	того чтобы	2	11
18	но в	7	11
19	что в	10	10
20	а не	25	10
21	вопрос о	2	9
22	то что	5	9
23	для того	2	9
24	хотя бы	3	9
25	не может	28	9
26	прежде всего	10	8
27	не в	16	8
28	уже не	4	8
29	и что	2	8
30	все же	2	7
31	но и	25	7
32	и с	3	7
33	это не	5	6
34	в этой	6	6
35	но не	8	6
36	и на	6	6
37	не могут	5	5
38	должна быть	6	5
39	что он	10	5
40	в его	9	5
41	один из	4	5
42	должен быть	2	5
43	вместе с	6	5
44	приводит к	2	5
45	все это	6	5
46	и вот	3	5
47	лишь в	6	5
48	только в	6	5
49	также и	2	5
50	в них	4	4
51	к этому	2	4
52	бы и	3	4
53	к тому	3	4
54	для нас	3	4
55	должно быть	3	4
56	как бы	2	4
57	в нем	13	4
58	не было	18	4
59	не имеет	3	4
60	вряд ли	3	4
61	сказать что	2	4
62	могут быть	2	4
63	в каком	2	4
64	в то	2	4
65	в конце	7	4
66	ничего не	3	4
67	чем в	2	3
68	на этом	3	3
69	уже в	4	3
70	у него	17	3
71	различие между	2	3
72	это и	4	3
73	до конца	14	3
74	в ней	15	3
75	он не	24	3
76	что и	4	3
77	не все	2	3
78	всего в	2	3
79	как в	2	3
80	отличается от	2	3
81	с этим	3	3
82	не знает	4	3
83	того что	7	3
84	и по	4	3
85	а в	4	3
86	и его	9	3
87	конце концов	2	3
88	тем что	4	3
89	и это	12	3
90	к этой	2	3
91	что дух	2	3
92	в виду	2	3
93	за собой	2	2
94	с тем	9	2
95	и есть	14	2
96	никогда не	14	2
97	с этой	4	2
98	не как	4	2
99	и от	2	2
100	и все	10	2
101	быть не	2	2
102	в самой	7	2
103	и потому	10	2
104	смысле слова	4	2
105	в свою	2	2
106	как будто	2	2
107	она не	4	2
108	конечно не	3	2
109	он уже	6	2
110	был бы	10	2
111	к нему	7	2
112	по сравнению	2	2
113	в своей	15	2
114	на том	3	2
115	не хочет	2	2
116	в их	4	2
117	в наше	2	2
118	в своем	10	2
119	пишет он	2	2
120	и для	2	2
121	достоевского и	10	2
122	как и	5	2
123	чтобы не	2	2
124	в той	2	2
125	и у	2	2
126	на этот	2	2
127	в которых	4	2
128	от этого	2	2
129	даже и	2	2
130	он и	2	2
131	всего что	2	2
132	и еще	3	2
133	будто бы	3	2
134	в иных	3	2
135	отношения к	4	2
