N	2gram	Medvedev_V_1	UchenyiS
1	и в	26	14
2	а не	7	10
3	не только	25	10
4	и не	19	8
5	прежде всего	13	8
6	то что	6	7
7	в этом	26	7
8	вот почему	4	7
9	не может	17	7
10	в искусстве	6	6
11	может быть	22	6
12	в художественном	10	5
13	хотя бы	19	5
14	художественное произведение	5	5
15	художественного творчества	18	5
16	все это	10	5
17	то же	10	5
18	но и	10	4
19	в этой	4	4
20	конечном счете	5	4
21	в их	5	4
22	с другой	11	4
23	что такое	2	4
24	в конечном	7	4
25	но в	2	3
26	как и	7	3
27	все же	5	3
28	не следует	8	3
29	в своей	4	3
30	и формы	2	3
31	в частности	11	3
32	очевидно что	7	3
33	же время	5	3
34	другой стороны	8	3
35	для него	8	3
36	это не	7	3
37	в то	6	3
38	было бы	7	3
39	этой области	3	3
40	в области	2	3
41	к сожалению	2	3
42	не о	2	3
43	у нас	2	3
44	том что	8	2
45	но не	2	2
46	в том	15	2
47	говоря иначе	3	2
48	по существу	3	2
49	художественного произведения	6	2
50	с его	3	2
51	думается что	4	2
52	крайней мере	2	2
53	не в	6	2
54	всех этих	2	2
55	и для	2	2
56	бы и	6	2
57	не столько	2	2
58	о чем	2	2
59	если бы	3	2
60	только в	7	2
61	но даже	3	2
62	могут быть	5	2
63	их и	4	2
64	даже и	3	2
65	что он	4	2
66	все они	2	2
67	и у	2	2
68	в себе	6	2
69	в системе	2	2
70	как раз	3	2
71	формы и	2	2
72	в противном	2	2
73	что мы	2	2
74	же самое	2	2
75	в конце	3	2
76	что все	3	2
77	и через	2	2
78	этом отношении	13	2
79	в самом	4	2
80	художественном творчестве	6	2
81	не могут	7	2
82	меньшей степени	2	2
83	по себе	2	2
84	а о	2	2
85	сводится к	3	2
86	одним из	5	2
87	не приходится	2	2
88	а как	2	2
89	по крайней	2	2
90	что она	2	2
91	что и	3	2
92	в его	14	2
93	противном случае	2	2
94	между тем	5	2
95	конце концов	2	2
96	таким образом	31	2
97	художественном произведении	4	2
