N	2gram	Nazirov_Tr_1	Psycholo
1	то что	4	37
2	и в	18	30
3	в том	2	27
4	что в	4	24
5	и что	4	23
6	потому что	2	23
7	том что	4	21
8	как бы	7	19
9	что он	6	17
10	не только	8	16
11	в самом	2	14
12	в этом	9	14
13	так же	4	13
14	то есть	3	13
15	может быть	7	11
16	о том	2	10
17	никогда не	2	9
18	не может	5	9
19	и то	2	9
20	с тем	2	8
21	что это	5	8
22	к тому	2	8
23	не в	2	8
24	при этом	3	8
25	и это	2	8
26	в нем	4	7
27	и как	3	7
28	все же	5	7
29	то же	5	7
30	как это	3	7
31	уже в	3	6
32	в своем	3	6
33	что она	2	6
34	как и	5	6
35	что с	3	6
36	но и	4	6
37	по мнению	2	6
38	что все	2	6
39	и не	7	6
40	говорит что	2	6
41	и его	6	6
42	и здесь	2	6
43	тем что	2	6
44	как будто	3	6
45	в целом	4	5
46	несмотря на	5	5
47	в этой	4	5
48	еще не	4	5
49	один из	3	5
50	в себе	4	5
51	но в	6	5
52	в частности	2	4
53	и все	4	4
54	прежде всего	4	4
55	говорит о	2	4
56	в его	3	4
57	как говорит	2	4
58	в конце	3	4
59	о чем	3	4
60	под влиянием	2	3
61	не могут	2	3
62	у него	6	3
63	это не	5	3
64	вопрос о	2	3
65	об этом	4	3
66	так что	2	3
67	одна из	2	3
68	для него	3	3
69	он не	2	3
70	в ее	2	3
71	что и	2	3
72	ни в	2	3
73	данном случае	2	3
74	так и	5	3
75	как в	3	3
76	по поводу	2	3
77	в таком	2	3
78	и на	7	3
79	в данном	2	3
80	из самых	2	2
81	перед нами	2	2
82	с его	2	2
83	в душе	2	2
84	в одном	2	2
85	что эти	2	2
86	а как	2	2
87	он был	2	2
88	до конца	2	2
89	в романе	10	2
90	но все	2	2
91	любви и	2	2
92	она все	2	2
93	нет в	2	2
94	это очень	5	2
95	мог бы	3	2
96	еще в	2	2
97	и до	2	2
98	все это	4	2
99	в отличие	2	2
100	и даже	4	2
101	и он	3	2
102	должно быть	3	2
103	отличие от	2	2
104	в глазах	2	2
105	ничего не	2	2
106	и с	7	2
107	в то	5	2
108	в рассказе	2	2
109	все эти	3	2
110	только о	2	2
