N	2gram	Propp_Russ_1	Psycholo
1	то что	6	44
2	и в	36	33
3	в этом	12	28
4	как бы	5	25
5	и что	4	25
6	потому что	10	24
7	может быть	8	22
8	том что	19	22
9	что в	19	21
10	в том	17	21
11	о том	8	20
12	как это	8	14
13	что это	3	13
14	таким образом	6	13
15	и не	6	13
16	так же	3	13
17	то есть	3	13
18	все это	6	13
19	к тому	4	12
20	так как	15	12
21	что она	2	10
22	не может	4	10
23	в его	2	10
24	то же	3	9
25	для этого	2	8
26	вместе с	10	8
27	как будто	5	8
28	в своем	3	7
29	для нас	6	7
30	до конца	2	7
31	так что	2	7
32	в нем	2	7
33	не только	22	7
34	когда он	2	7
35	тому что	4	6
36	это не	10	6
37	что они	7	6
38	в ней	2	6
39	и т	10	6
40	после этого	4	6
41	все эти	2	6
42	точки зрения	3	6
43	во время	14	6
44	у него	2	6
45	мы видим	2	6
46	мы должны	2	6
47	на самом	2	6
48	а не	2	6
49	в какой	2	5
50	и как	2	5
51	в целом	2	5
52	мы не	6	5
53	и на	10	5
54	как он	2	5
55	полагает что	6	5
56	с ним	2	5
57	мы можем	2	5
58	с этим	2	5
59	как и	10	5
60	все же	5	5
61	в частности	2	4
62	что у	2	4
63	так например	6	4
64	из них	8	4
65	а в	9	4
66	и других	7	4
67	не просто	2	4
68	того что	4	4
69	с тем	8	4
70	в жизни	2	4
71	к этому	4	4
72	об этом	9	4
73	у нас	8	4
74	одна из	4	4
75	как мы	10	4
76	с точки	3	4
77	этот вопрос	2	4
78	только в	4	4
79	что именно	2	3
80	на этом	3	3
81	не можем	3	3
82	например в	2	3
83	но и	16	3
84	и до	2	3
85	не было	2	3
86	в своих	2	3
87	в которых	5	3
88	их в	3	3
89	в первый	4	3
90	и здесь	2	3
91	та же	2	3
92	всех этих	2	3
93	в одном	3	3
94	но не	2	3
95	она не	2	3
96	и из	3	3
97	что и	7	3
98	так и	7	3
99	как в	5	3
100	на кладбище	4	3
101	и для	2	3
102	что этот	4	3
103	тем что	4	3
104	в виде	6	3
105	далеко не	3	3
106	этого слова	3	3
107	на этот	3	3
108	его и	2	2
109	из этих	4	2
110	на все	2	2
111	в тех	4	2
112	но все	3	2
113	такой же	2	2
114	что ему	2	2
115	при этом	6	2
116	до нового	2	2
117	один из	8	2
118	в их	4	2
119	т д	9	2
120	к таким	3	2
121	не имеет	6	2
122	и с	2	2
123	одно из	5	2
124	и потому	2	2
125	мы имеем	4	2
126	но в	2	2
127	в них	6	2
128	думать что	3	2
129	это время	2	2
130	и к	3	2
131	по существу	4	2
132	представляет собой	4	2
133	тем и	2	2
134	мы увидим	8	2
135	в это	3	2
136	во всех	4	2
137	должно было	2	2
138	ни одно	2	2
139	и другим	2	2
140	не на	2	2
141	в круг	2	2
142	а с	4	2
143	между двумя	2	2
144	связи с	4	2
145	ничего не	3	2
