N	3gram	Losev_Prob_1	Dialekti
1	и т д	10	23
2	с точки зрения	3	14
3	тем не менее	18	10
4	в таком случае	6	10
5	не только не	3	7
6	т д и	4	6
7	а не просто	4	6
8	не что иное	2	6
9	что иное как	2	6
10	не может быть	2	6
11	вовсе не есть	6	5
12	о том что	5	5
13	в самом деле	2	5
14	сам по себе	7	5
15	д и т	3	5
16	по крайней мере	2	5
17	сама по себе	4	4
18	подобно тому как	2	4
19	что она есть	2	3
20	даже и не	2	3
21	ни в каком	3	3
22	в том что	5	3
23	то что мы	6	3
24	сами по себе	3	3
25	на то что	8	3
26	она есть нечто	2	3
27	есть не что	2	3
28	как раз и	7	3
29	не есть ни	5	3
30	той или иной	4	2
31	так же как	2	2
32	отнюдь не есть	2	2
33	хотя и не	2	2
34	иметь в виду	3	2
35	точно так же	4	2
36	не говоря уже	2	2
37	того или иного	2	2
38	с другой стороны	3	2
39	и тем не	8	2
40	и в этом	2	2
41	во всяком случае	3	2
42	и не просто	2	2
43	так или иначе	2	2
44	по себе отнюдь	2	2
