N	2gram	Tiupa_Anal_2	OGranits
1	и в	16	13
2	и его	4	12
3	прежде всего	3	9
4	не может	4	8
5	и не	12	8
6	может быть	6	8
7	и их	2	7
8	и т.п	8	7
9	точки зрения	4	7
10	в его	2	7
11	таким образом	2	6
12	не только	16	6
13	то что	7	6
14	только в	4	6
15	как бы	10	6
16	художественного произведения	2	5
17	с точки	2	5
18	языка и	2	5
19	в поэзии	2	5
20	и т.д	3	5
21	эстетического объекта	3	5
22	то же	4	4
23	в своей	2	4
24	все это	4	4
25	на фоне	3	4
26	в двух	2	4
27	лишь в	9	4
28	было бы	3	4
29	в сознании	4	4
30	но в	6	4
31	произведения как	2	4
32	отношению к	4	3
33	что в	2	3
34	никогда не	3	3
35	но и	12	3
36	так и	15	3
37	в их	3	3
38	по отношению	4	3
39	и все	3	3
40	в одном	2	3
41	превращается в	2	3
42	как и	14	3
43	не в	4	3
44	за пределы	4	3
45	и то	3	3
46	не столько	3	3
47	в пределах	9	3
48	в себе	7	3
49	говорить о	6	3
50	и для	2	3
51	еще в	2	2
52	не менее	4	2
53	а как	2	2
54	и тем	4	2
55	к предмету	2	2
56	в целом	8	2
57	своего рода	12	2
58	данном случае	5	2
59	а не	10	2
60	в произведении	2	2
61	во времени	2	2
62	другой стороны	2	2
63	с другой	6	2
64	от своего	2	2
65	собственно говоря	2	2
66	а в	3	2
67	с одной	5	2
68	вовсе не	2	2
69	те же	2	2
70	роль в	2	2
71	или иного	3	2
72	на две	3	2
73	к тому	7	2
74	и к	5	2
75	как в	4	2
76	если бы	3	2
77	литературное произведение	3	2
78	в общем	2	2
79	не имеет	2	2
80	в том	12	2
81	так же	2	2
82	не мог	3	2
83	том что	12	2
84	с ними	3	2
85	в данном	8	2
86	в этом	18	2
87	тем что	3	2
88	между тем	2	2
89	могут быть	10	2
90	при этом	10	2
91	соответствии с	2	2
92	для него	4	2
93	одной стороны	4	2
94	литературного произведения	16	2
95	в действительности	3	2
96	несмотря на	3	2
97	того или	3	2
98	в самом	6	2
99	вслед за	2	2
100	имеет место	4	2
101	бы в	3	2
102	и является	4	2
103	а также	7	2
104	и композиция	4	2
