N	2gram	Tiupa_Narr_2	StatiiOP
1	и в	13	44
2	в том	14	36
3	и т	2	30
4	что в	4	30
5	том что	13	29
6	в этом	13	21
7	вовсе не	2	19
8	то что	8	18
9	не только	26	18
10	было бы	2	17
11	а в	9	17
12	о том	5	17
13	и не	14	16
14	а не	17	16
15	может быть	10	15
16	в данном	10	14
17	в области	2	14
18	как в	5	13
19	можно было	2	13
20	не в	8	12
21	в тексте	8	12
22	у нас	2	11
23	в этой	4	11
24	самом деле	3	11
25	того чтобы	3	11
26	точки зрения	5	11
27	что он	5	10
28	но и	15	10
29	но в	6	10
30	только в	11	10
31	с другой	5	9
32	но также	2	9
33	если бы	4	9
34	в то	5	9
35	как и	4	9
36	того что	6	9
37	т п	2	9
38	во второй	2	9
39	так и	9	9
40	в его	6	9
41	все же	6	8
42	не может	8	8
43	и его	3	8
44	это не	3	8
45	с точки	2	8
46	я не	5	7
47	прежде всего	6	7
48	по поводу	2	7
49	в самом	2	7
50	нас нет	2	7
51	для нас	2	7
52	таким образом	5	7
53	этом отношении	3	7
54	сказать что	3	7
55	что они	3	7
56	потому что	2	6
57	из этих	2	6
58	но это	2	6
59	для него	4	6
60	что и	2	6
61	в своей	4	6
62	данном случае	6	6
63	со стороны	6	6
64	именно в	2	6
65	на самом	2	6
66	в той	5	6
67	хотя бы	2	6
68	не менее	4	5
69	никогда не	6	5
70	так же	2	5
71	в котором	5	5
72	в нем	5	5
73	в целом	3	5
74	жизни и	4	5
75	xix в	2	5
76	той же	2	5
77	то же	4	5
78	и даже	3	5
79	и по	3	5
80	в слове	3	5
81	все эти	3	5
82	что это	4	4
83	по словам	2	4
84	в частности	11	4
85	столь же	2	4
86	что она	2	4
87	или иного	3	4
88	в ее	4	4
89	же время	3	4
90	тем более	2	4
91	и что	2	4
92	в качестве	14	4
93	того или	3	4
94	как раз	3	4
95	как бы	6	4
96	на то	2	4
97	что у	2	4
98	не имеет	2	4
99	как это	4	4
100	к которому	2	4
101	том как	2	4
102	не являются	2	3
103	а с	2	3
104	во время	2	3
105	тому что	3	3
106	точку зрения	3	3
107	для себя	3	3
108	в какой	4	3
109	с этой	3	3
110	не является	4	3
111	а во	2	3
112	в конце	4	3
113	я уже	2	3
114	должна быть	2	3
115	да и	3	3
116	об этом	4	3
117	в начале	2	3
118	же как	2	3
119	но не	3	3
120	еще не	2	3
121	своего рода	9	3
122	и для	3	3
123	в ней	2	3
124	не все	2	3
125	и тем	5	3
126	его жизни	2	3
127	отношению к	5	3
128	говорит о	2	3
129	внимание на	3	3
130	по отношению	5	3
131	в виде	2	3
132	с одной	5	3
133	о которой	3	3
134	в таком	3	3
135	в чем	2	3
136	как к	3	3
137	в результате	2	3
138	в другом	4	3
139	видно что	2	3
140	ответ на	5	3
141	между тем	3	3
142	а как	3	2
143	в случае	2	2
144	в своем	6	2
145	превращается в	2	2
146	как о	2	2
147	имеем дело	2	2
148	на свой	2	2
149	раз в	2	2
150	всякий раз	2	2
151	и более	2	2
152	если не	2	2
153	при этом	14	2
154	что с	2	2
155	одной стороны	5	2
156	и сам	3	2
157	со всеми	2	2
158	несмотря на	2	2
159	и иные	2	2
160	но для	2	2
161	а также	6	2
162	и уже	4	2
163	тем не	5	2
164	такого рода	12	2
165	можно назвать	2	2
166	подчеркнуть что	2	2
167	на него	5	2
168	о них	2	2
169	тем самым	5	2
170	более чем	2	2
171	и у	4	2
172	свидетельствует о	4	2
173	по его	2	2
174	в других	2	2
175	мы не	2	2
176	или иначе	2	2
177	ничего не	6	2
178	в своих	2	2
179	дело с	2	2
180	а то	2	2
181	у него	6	2
182	одно из	2	2
183	мере в	2	2
184	он не	5	2
185	но он	2	2
186	в себе	8	2
187	в сознании	2	2
188	говорить о	2	2
189	по своей	3	2
190	о котором	3	2
191	как правило	3	2
192	в равной	2	2
193	и все	4	2
194	должен был	2	2
195	могло бы	2	2
196	мы имеем	3	2
197	то есть	9	2
