N	2gram	Savitsky_P_1	slovoVRo
1	и в	14	39
2	может быть	5	37
3	и т	3	35
4	не только	17	24
5	и не	12	22
6	но и	6	21
7	не может	4	20
8	в нем	3	19
9	все это	2	16
10	в этом	10	16
11	а не	2	14
12	в пределах	8	13
13	во всех	2	12
14	не в	5	9
15	и с	2	9
16	прежде всего	3	8
17	точки зрения	3	8
18	в его	2	7
19	как бы	4	7
20	и потому	4	7
21	могут быть	3	7
22	в них	2	6
23	и к	4	6
24	в своем	4	6
25	но не	3	6
26	в значительной	2	6
27	но в	9	6
28	с другой	5	5
29	это не	3	5
30	по себе	4	5
31	для нас	2	5
32	том что	4	5
33	одной стороны	3	5
34	только в	7	5
35	в том	9	5
36	например в	2	5
37	с одной	3	5
38	с ними	3	5
39	не менее	2	4
40	же время	7	4
41	одна из	2	4
42	в смысле	6	4
43	в отношении	10	4
44	отношения к	2	4
45	то же	9	4
46	и других	2	4
47	а в	4	4
48	xix века	6	4
49	в то	7	4
50	отношении к	5	4
51	что в	4	3
52	хотя бы	8	3
53	не столько	2	3
54	стороны и	2	3
55	точек зрения	2	3
56	и как	3	3
57	в ней	6	3
58	а также	4	3
59	с точки	3	3
60	между тем	3	3
61	говорить о	2	3
62	не было	2	2
63	в сфере	2	2
64	хотя и	3	2
65	в себе	3	2
66	из важнейших	2	2
67	то что	4	2
68	испытания и	2	2
69	с этим	2	2
70	может и	2	2
71	в виде	2	2
72	именно в	2	2
73	еще более	2	2
74	мы не	3	2
75	эта идея	2	2
76	для того	3	2
77	именно как	2	2
78	в области	11	2
