N	2gram	Berdyaev_V_1	Dialekti
1	не есть	6	40
2	и не	20	30
3	и т	2	21
4	т д	2	19
5	и в	16	18
6	в нем	4	16
7	и есть	4	16
8	ни в	3	15
9	не имеет	3	15
10	а не	7	14
11	потому что	4	14
12	что в	3	13
13	то что	9	13
14	не только	2	13
15	и что	3	12
16	в этом	4	12
17	что он	4	11
18	как бы	5	11
19	все это	5	11
20	так как	9	11
21	прежде всего	2	10
22	никогда не	3	9
23	это не	2	9
24	в том	3	9
25	так и	4	9
26	том что	2	9
27	и то	2	9
28	но это	3	8
29	но и	5	7
30	что не	4	7
31	да и	2	6
32	хотя бы	3	6
33	не было	3	6
34	не в	3	6
35	его не	2	6
36	в чем	3	6
37	с ним	2	6
38	но в	3	6
39	в этих	3	5
40	и мы	3	5
41	не с	2	5
42	а в	2	5
43	можно было	2	5
44	говорить о	4	5
45	в конце	3	4
46	к тому	3	4
47	во всяком	2	4
48	это мы	2	4
49	но не	2	4
50	от него	2	4
51	хотя и	5	4
52	в котором	4	4
53	то это	3	4
54	а есть	2	4
55	нет еще	2	3
56	к богу	8	3
57	тому что	3	3
58	в них	3	3
59	все равно	2	3
60	должна быть	3	3
61	что и	3	3
62	что я	3	3
63	что они	7	3
64	от бога	8	3
65	конечно не	2	3
66	в его	4	3
67	и потому	7	3
68	один из	2	3
69	нем нет	2	3
70	жизни и	3	3
71	должно быть	3	3
72	в ней	4	3
73	могут быть	2	3
74	только в	2	3
75	и все	4	3
76	от этого	3	3
77	что их	2	2
78	того что	5	2
79	бы и	3	2
80	тот кто	2	2
81	в мире	5	2
82	как и	4	2
83	мы и	2	2
84	для него	2	2
85	еще не	8	2
86	вслед за	2	2
87	как не	3	2
88	в своей	3	2
89	и тогда	2	2
90	на земле	7	2
91	а с	2	2
92	все эти	3	2
93	уже не	2	2
94	и для	3	2
95	и это	2	2
