N	2gram	Losev_Vlad_2	Istorich
1	и в	30	25
2	что он	13	22
3	вместе с	8	22
4	может быть	7	17
5	не только	12	13
6	но и	8	13
7	в его	11	12
8	и не	18	11
9	уже не	3	11
10	так как	5	11
11	все же	9	10
12	в этом	20	10
13	его в	4	9
14	и его	6	9
15	таким образом	3	9
16	в виде	3	9
17	с тем	2	8
18	связи с	8	8
19	что в	12	8
20	мы знаем	4	8
21	том что	12	8
22	все эти	5	8
23	и что	5	8
24	и на	4	8
25	в частности	2	7
26	мы видели	2	7
27	как и	5	7
28	но это	4	7
29	то что	20	7
30	в нем	4	7
31	потому что	9	7
32	только в	6	7
33	о том	4	7
34	в этих	4	6
35	это не	2	6
36	прежде всего	6	6
37	что и	3	6
38	себя в	2	6
39	как в	3	6
40	не может	9	6
41	и он	4	6
42	не в	9	6
43	в том	18	6
44	что это	4	5
45	него и	2	5
46	с этим	5	5
47	как мы	11	5
48	для нас	7	5
49	но все	2	5
50	здесь мы	3	5
51	но не	3	5
52	в ней	4	5
53	так же	4	5
54	мы не	2	5
55	не менее	7	4
56	если не	2	4
57	тем не	6	4
58	в дальнейшем	5	4
59	мы уже	2	4
60	наряду с	2	4
61	в основном	5	4
62	а именно	6	4
63	все это	5	4
64	в связи	8	4
65	то же	4	4
66	его на	3	4
67	и хотя	2	4
68	он не	4	4
69	мы должны	4	4
70	и это	3	4
71	в которой	4	4
72	с ним	5	4
73	того как	2	4
74	после смерти	4	3
75	никогда не	7	3
76	и как	3	3
77	в более	2	3
78	и все	7	3
79	в целом	4	3
80	в свою	3	3
81	ему в	2	3
82	после того	2	3
83	увидим ниже	2	3
84	что его	4	3
85	в этой	4	3
86	в то	9	3
87	также что	2	3
88	того чтобы	2	3
89	и из	2	3
90	о нем	2	3
91	то это	4	3
92	но уже	2	3
93	на этом	2	3
94	только после	2	3
95	и она	2	3
96	для того	2	3
97	к нему	2	3
98	друг друга	2	3
99	его не	2	3
100	а в	11	3
101	в данном	3	3
102	их в	2	3
103	и с	14	3
104	и вообще	10	3
105	уже в	3	2
106	ли он	2	2
107	здесь можно	2	2
108	уже и	2	2
109	под влиянием	3	2
110	он на	2	2
111	у него	19	2
112	его и	2	2
113	он же	2	2
114	только тогда	2	2
115	тогда когда	2	2
116	к этому	6	2
117	вовсе не	4	2
118	по себе	5	2
119	меня в	2	2
120	на то	2	2
121	можно сказать	4	2
122	так что	5	2
123	об этом	6	2
124	же в	2	2
125	с этой	4	2
126	по существу	3	2
127	и при	2	2
128	как у	2	2
129	того же	5	2
130	это значит	2	2
131	она не	2	2
132	в это	4	2
133	и сам	2	2
134	жизни и	6	2
135	несмотря на	4	2
136	и мы	4	2
137	во сне	2	2
138	как бы	5	2
139	и потому	2	2
140	это время	4	2
141	еще в	2	2
142	даже в	2	2
143	в своей	5	2
144	еще один	2	2
145	во всех	3	2
146	том чтобы	2	2
147	время в	4	2
148	с ней	2	2
149	данном случае	2	2
150	со стороны	4	2
151	с которым	2	2
152	и для	3	2
153	в течение	5	2
154	а не	7	2
155	того что	5	2
156	и по	2	2
157	то в	5	2
158	сказать что	11	2
159	но он	3	2
160	точки зрения	7	2
161	к его	2	2
162	которой он	2	2
163	то его	2	2
164	ничего не	2	2
165	о чем	6	2
166	или как	2	2
167	это было	4	2
