N	2gram	Vygotskiy__3	TeoriaLi
1	не только	12	18
2	в качестве	2	17
3	и не	10	16
4	а в	7	14
5	и в	38	13
6	состоит в	3	13
7	может быть	19	12
8	то есть	15	12
9	представляет собой	2	11
10	при этом	4	11
11	в этом	13	11
12	в том	25	11
13	а не	7	10
14	и его	6	10
15	в его	5	9
16	то же	10	9
17	что в	20	8
18	но и	5	8
19	в себе	4	7
20	том что	14	7
21	в данном	2	7
22	точки зрения	16	7
23	в то	3	7
24	только в	4	7
25	как это	6	7
26	место в	3	6
27	в первой	2	6
28	как бы	14	6
29	в русской	2	6
30	но в	3	6
31	и одновременно	2	5
32	в своем	5	5
33	в ее	7	5
34	как и	8	5
35	не в	12	5
36	в самом	25	5
37	в нем	4	5
38	данном случае	2	5
39	как в	4	5
40	он не	6	5
41	уже не	2	5
42	с другой	7	5
43	между тем	7	5
44	в свою	4	4
45	ни в	3	4
46	в своей	5	4
47	то что	35	4
48	по преимуществу	2	4
49	не может	7	4
50	сказать что	4	4
51	но он	2	4
52	и ее	2	4
53	перед нами	8	3
54	никогда не	4	3
55	в этих	2	3
56	со своей	2	3
57	и к	3	3
58	свою очередь	2	3
59	по своему	4	3
60	для него	2	3
61	того что	4	3
62	например в	2	3
63	совпадает с	2	3
64	этого слова	2	3
65	с ее	2	3
66	другой стороны	5	3
67	как раз	8	3
68	таким образом	12	3
69	а с	2	3
70	в другом	5	3
71	и вот	2	3
72	и что	18	3
73	и по	2	3
74	или в	5	3
75	и то	8	3
76	потому что	14	3
77	в основе	3	3
78	все прочие	2	3
79	в этой	13	3
80	его в	3	3
81	все эти	4	3
82	я не	5	2
83	русской поэзии	2	2
84	если бы	14	2
85	была бы	2	2
86	между собой	2	2
87	в конце	2	2
88	того же	3	2
89	вовсе не	8	2
90	что он	11	2
91	к тому	6	2
92	но как	2	2
93	и как	8	2
94	что они	4	2
95	казалось бы	5	2
96	одной стороны	5	2
97	в глаза	2	2
98	одно и	3	2
99	и больше	2	2
100	мы в	2	2
101	из которых	4	2
102	имеет место	2	2
103	иначе говоря	5	2
104	к его	2	2
105	здесь мы	4	2
106	в виду	4	2
107	и тем	3	2
108	в целом	4	2
109	тем в	2	2
110	во всех	4	2
111	вместе с	5	2
112	дело не	2	2
113	образом и	2	2
114	со стороны	2	2
115	вытекает из	2	2
116	здесь не	3	2
117	как к	2	2
118	и для	4	2
119	с одной	6	2
120	в той	5	2
121	и о	3	2
122	говорит что	8	2
123	с точки	9	2
124	и даже	4	2
125	так же	2	2
126	либо в	2	2
127	их в	2	2
128	автора и	2	2
129	у него	4	2
130	и здесь	6	2
131	могла бы	3	2
132	как будто	4	2
133	о том	6	2
134	и это	8	2
135	в которой	5	2
136	отношения к	2	2
137	на деле	4	2
